--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,,-additional
29,Marko Arnautović,at AUT,FW,Inter,35,1989,18,549,31,16.1,6.1,5,69,1,13,16,20,2.06,12,9,+3,+0.49,-0.79,Matches,00459419
30,Kristjan Asllani,al ALB,MF,Inter,22,2002,22,988,45,28.9,11.0,10,80,5,12,16,14,2.36,20,10,+10,+0.91,-0.35,Matches,0fdcef0e
31,Ank Asmussen,dk DEN,FW,Empoli,19,2005,0,,,,,0,,0,0,,6,,,,,,,Matches,d75400e2
32,Arthur Atta,fr FRA,MFFW,Udinese,21,2003,27,1251,46,36.6,13.9,12,78,4,15,21,3,1.15,10,20,-10,-0.72,-0.51,Matches,d3ddf88b
33,Emil Audero,id IDN,GK,Como,27,1997,8,720,90,21.1,8.0,8,90,8,0,,15,1.00,11,18,-7,-0.87,-1.01,Matches,649b01d8
34,Tommaso Augello,it ITA,MFDF,Cagliari,29,1994,38,2713,71,79.3,30.1,30,84,20,8,26,0,0.95,30,46,-16,-0.53,-0.53,Matches,3cd3b384
35,Carlos Augusto,br BRA,DFMF,Inter,25,1999,29,1691,58,49.4,18.8,15,86,13,14,29,3,2.07,37,17,+20,+1.06,-0.18,Matches,8d3cd59d
36,Yann Aurel Bisseck,de GER,DF,Inter,23,2000,27,1643,61,48.0,18.3,17,78,10,10,32,8,2.22,42,20,+22,+1.21,+0.09,Matches,3963c25b
37,Henrijs Auseklis,lv LVA,GK,Cagliari,17,2006,0,,,,,0,,0,0,,3,,,,,,,Matches,47b65a03
38,Ivan Azón,es ESP,FW,Como,21,2002,0,,,,,0,,0,0,,6,,,,,,,Matches,9b2779f5
39,Paulo Azzi,br BRA,MF,Cagliari,30,1994,6,426,71,12.5,4.7,5,79,3,1,31,15,0.33,1,5,-4,-0.85,-0.48,Matches,967ac202
40,Oussama El Azzouzi,ma MAR,MF,Bologna,23,2001,2,19,10,0.6,0.2,0,,0,2,10,16,1.50,0,1,-1,-4.74,-5.03,Matches,85f476cc
41,Jacopo Bacci,it ITA,MF,Empoli,19,2005,3,31,10,0.9,0.3,0,,0,3,10,16,0.33,1,0,+1,+2.90,+3.62,Matches,9ce30308
42,Milan Badelj,hr CRO,MF,Genoa,35,1989,23,1472,64,43.0,16.4,21,68,4,2,19,11,1.09,13,17,-4,-0.24,+0.13,Matches,e8c930bb
43,Nicola Bagnolini,it ITA,GK,Bologna,20,2004,0,,,,,0,,0,0,,36,,,,,,,Matches,ad263695
44,Mitchel Bakker,nl NED,DFMF,Atalanta,24,2000,1,22,22,0.6,0.2,0,,0,1,22,0,3.00,0,0,0,0.00,-1.09,Matches,a8567629
45,Tommaso Baldanzi,it ITA,MFFW,Roma,21,2003,31,832,27,24.3,9.2,5,64,0,26,20,7,1.81,16,8,+8,+0.87,+0.41,Matches,102e2599
46,Keita Baldé,sn SEN,FW,Monza,29,1995,11,638,58,18.7,7.1,8,72,2,3,20,0,0.45,6,19,-13,-1.83,-0.93,Matches,509a4ccb
47,Botond Balogh,hu HUN,DF,Parma,22,2002,29,2053,71,60.0,22.8,23,82,17,6,30,7,1.00,27,32,-5,-0.22,+0.37,Matches,348bafd4
48,Mario Balotelli,it ITA,FW,Genoa,33,1990,6,62,10,1.8,0.7,0,,0,6,10,3,1.50,1,0,+1,+1.45,+1.80,Matches,8ff07990
49,Lameck Banda,zm ZAM,MFFW,Lecce,23,2001,15,610,41,17.8,6.8,6,59,0,9,29,7,0.60,2,11,-9,-1.33,-0.62,Matches,8a6de8c7
50,Daniel Bandeira,pt POR,MF,Hellas Verona,24,2000,11,407,37,11.9,4.5,4,71,1,7,18,12,0.82,6,12,-6,-1.33,-0.55,Matches,56fca564
51,Mattia Bani,it ITA,DF,Genoa,30,1993,20,1507,75,44.1,16.7,19,78,13,1,22,4,1.25,18,19,-1,-0.06,+0.46,Matches,0821331c
52,Antonín Barák,cz CZE,MF,Fiorentina,29,1994,1,54,54,1.6,0.6,1,54,0,0,,1,1.00,0,0,0,0.00,-0.51,Matches,01efac19
53,Federico Barba,it ITA,DF,Como,30,1993,7,431,62,12.6,4.8,5,82,3,2,12,8,0.57,3,9,-6,-1.25,-1.34,Matches,c010b898
54,Matteo Barbini,it ITA,DF,Genoa,17,2006,0,,,,,0,,0,0,,3,,,,,,,Matches,3eea749d
55,Nicolò Barella,it ITA,MF,Inter,27,1997,33,2493,76,72.9,27.7,29,82,18,4,30,2,2.12,56,24,+32,+1.16,-0.01,Matches,6928979a
56,Leonardo Baroncelli,it ITA,DF,Fiorentina,18,2005,0,,,,,0,,0,0,,4,,,,,,,Matches,7b8da3cc
57,Davide Bartesaghi,it ITA,DF,Milan,18,2005,4,118,30,3.5,1.3,1,60,0,3,19,19,3.00,2,1,+1,+0.76,+0.30,Matches,7e0b6c50
58,Federico Baschirotto,it ITA,DF,Lecce,27,1996,38,3420,90,100.0,38.0,38,90,38,0,,0,0.89,27,58,-31,-0.82,,Matches,5a08ee41
59,Daniele Baselli,it ITA,MF,Como,32,1992,2,22,11,0.6,0.2,1,21,0,1,1,11,1.50,0,1,-1,-4.09,-4.04,Matches,ea06dd97
60,Toma Bašić,hr CRO,MF,Lazio,27,1996,0,,,,,0,,0,0,,16,,,,,,,Matches,80556f08
61,Alessandro Bastoni,it ITA,DF,Inter,25,1999,33,2401,73,70.2,26.7,31,76,8,2,19,3,2.15,64,21,+43,+1.61,+1.52,Matches,75b86fb3
62,Reda Belahyane,ma MAR,MF,Hellas Verona,20,2004,22,1658,75,48.5,18.4,17,88,13,5,32,0,0.91,20,39,-19,-1.03,-0.37,Matches,705a1642
63,Reda Belahyane,ma MAR,MF,Lazio,20,2004,6,198,33,5.8,2.2,1,90,1,5,22,8,1.50,1,1,0,0.00,-0.34,Matches,705a1642
64,Luca Belardinelli,it ITA,MF,Empoli,23,2001,0,,,,,0,,0,0,,6,,,,,,,Matches,97066336
65,Raoul Bellanova,it ITA,MF,Atalanta,24,2000,34,2402,71,70.2,26.7,27,81,16,7,32,2,1.97,53,27,+26,+0.97,-0.35,Matches,e3756e72
66,Raoul Bellanova,it ITA,MF,Torino,24,2000,1,87,87,2.5,1.0,1,87,0,0,,0,1.00,2,0,+2,+2.07,+2.28,Matches,e3756e72
67,Andrea Belotti,it ITA,FW,Como,30,1993,18,593,33,17.3,6.6,7,66,0,11,12,5,0.83,5,12,-7,-1.06,-1.19,Matches,d705ba44
68,Lucas Beltrán,ar ARG,MFFW,Fiorentina,23,2001,33,1953,59,57.1,21.7,21,78,5,12,27,4,1.67,37,25,+12,+0.55,+0.12,Matches,482d2bc3
69,Dawid Bembnista,pl POL,DF,Empoli,17,2007,0,,,,,0,,0,0,,7,,,,,,,Matches,549052f9
70,Adrian Benedyczak,pl POL,MF,Parma,23,2000,9,214,24,6.3,2.4,2,45,0,7,18,5,1.11,4,7,-3,-1.26,-0.95,Matches,3f448184
71,Ismaël Bennacer,dz ALG,MF,Milan,26,1997,6,300,50,8.8,3.3,4,53,0,2,45,2,1.50,3,3,0,0.00,-0.52,Matches,db092d3b
72,Alessandro Berardi,it ITA,GK,Hellas Verona,33,1991,0,,,0.0,0.0,0,,0,0,,29,1.00,1,1,0,,,Matches,ec1f737d
73,Thomas Berenbruch,it ITA,MF,Inter,19,2005,0,,,,,0,,0,0,,11,,,,,,,Matches,921bf733
74,Medon Berisha,al ALB,MF,Lecce,20,2003,17,716,42,20.9,8.0,7,67,1,10,25,5,0.59,7,10,-3,-0.38,+0.55,Matches,9d376bef
75,Adrian Bernabe,es ESP,MF,Parma,23,2001,21,1453,69,42.5,16.1,18,73,8,3,48,2,1.10,20,22,-2,-0.12,+0.43,Matches,548672b4
76,Lorenzo Bernasconi,it ITA,MF,Atalanta,20,2003,0,,,,,0,,0,0,,2,,,,,,,Matches,c1041eb7
77,Antoine Bernede,fr FRA,MF,Hellas Verona,25,1999,14,594,42,17.4,6.6,7,60,0,7,24,1,0.79,2,13,-11,-1.67,-1.00,Matches,07a821e4
78,Alessandro Berretta,it ITA,MF,Monza,18,2006,0,,,,,0,,0,0,,1,,,,,,,Matches,476bf601
79,Davide Bettella,it ITA,DF,Monza,24,2000,0,,,,,0,,0,0,,1,,,,,,,Matches,2edcd048
80,Sam Beukema,nl NED,DF,Bologna,25,1998,35,3012,86,88.1,33.5,33,90,32,2,25,3,1.74,51,39,+12,+0.36,+0.80,Matches,de13cee5
81,Noah El Biache,be BEL,MF,Empoli,19,2005,0,,,,,0,,0,0,,2,,,,,,,Matches,ff55b16a
82,Côme Bianay Balcot,fr FRA,DF,Torino,19,2005,0,,,,,0,,0,0,,13,,,,,,,Matches,fd45fb38
83,Alessandro Bianco,it ITA,MF,Monza,21,2002,34,2600,76,76.0,28.9,29,84,17,5,30,1,0.47,19,60,-41,-1.42,-1.42,Matches,d65cf468
84,Alessandro Bianco,it ITA,MF,Fiorentina,21,2002,1,18,18,0.5,0.2,0,,0,1,18,1,1.00,1,0,+1,+5.00,+4.52,Matches,d65cf468
85,Davide Bifulco,it ITA,GK,Monza,18,2006,0,,,,,0,,0,0,,1,,,,,,,Matches,a3e24235
86,Jaka Bijol,si SVN,DF,Udinese,25,1999,34,2963,87,86.6,32.9,34,87,32,0,,0,1.18,37,46,-9,-0.27,+0.91,Matches,6fdac234
87,Philip Billing,dk DEN,MF,Napoli,28,1996,10,197,20,5.8,2.2,1,61,0,9,15,8,2.10,2,3,-1,-0.46,-1.38,Matches,d328a254
88,Cristiano Biraghi,it ITA,DF,Torino,31,1992,15,1158,77,33.9,12.9,13,87,10,2,15,0,1.13,12,15,-3,-0.23,-0.11,Matches,9e1577aa
89,Cristiano Biraghi,it ITA,DFMF,Fiorentina,31,1992,8,433,54,12.7,4.8,5,81,4,3,9,5,1.88,5,7,-2,-0.42,-1.05,Matches,9e1577aa
90,Samuele Birindelli,it ITA,MF,Monza,25,1999,21,1468,70,42.9,16.3,18,79,7,3,15,3,0.29,10,30,-20,-1.23,-0.26,Matches,204ac005
91,Bjarki Bjarkason,is ISL,MF,Venezia,24,2000,9,165,18,4.8,1.8,1,75,0,8,11,16,0.67,2,1,+1,+0.55,+1.24,Matches,f1d25de7
92,Emil Bohinen,no NOR,MF,Genoa,25,1999,3,166,55,4.9,1.8,1,90,1,2,38,19,0.33,2,8,-6,-3.25,-3.09,Matches,c83c203f
93,Pierre Bolchini,it ITA,GK,Como,25,1999,0,,,,,0,,0,0,,1,,,,,,,Matches,45bcf753
94,Warren Bondo,fr FRA,MF,Monza,20,2003,20,1618,81,47.3,18.0,19,85,13,1,10,0,0.65,18,25,-7,-0.39,+1.31,Matches,0def2376
95,Warren Bondo,fr FRA,MF,Milan,20,2003,4,162,41,4.7,1.8,3,50,0,1,11,8,1.75,0,5,-5,-2.78,-3.41,Matches,0def2376
96,Kevin Bonifazi,it ITA,DF,Lecce,28,1996,3,65,22,1.9,0.7,0,,0,3,22,6,1.00,1,4,-3,-4.15,-3.40,Matches,fb77bfef
97,Ange-Yoan Bonny,ci CIV,FW,Parma,20,2003,37,2529,68,73.9,28.1,30,75,7,7,40,0,0.97,33,36,-3,-0.11,+1.00,Matches,64629ba4
98,Alexandru Borbei,ro ROU,GK,Lecce,21,2003,0,,,,,0,,0,0,,22,,,,,,,Matches,37b48a61
99,Filipe Bordon,br BRA,DF,Lazio,19,2005,0,,,,,0,,0,0,,2,,,,,,,Matches,c551577e
100,Edoardo Bove,it ITA,MF,Fiorentina,22,2002,12,851,71,24.9,9.5,11,74,5,1,33,0,2.42,21,7,+14,+1.48,+1.31,Matches,ae94a6c5
101,Edoardo Bove,it ITA,MF,Roma,22,2002,0,,,,,0,,0,0,,2,,,,,,,Matches,ae94a6c5
102,Domagoj Bradarić,hr CRO,MFDF,Hellas Verona,24,1999,28,1933,69,56.5,21.5,24,76,7,4,28,7,0.96,16,39,-23,-1.07,-0.53,Matches,8bbe2df5
103,Federico Brancolini,it ITA,GK,Empoli,23,2001,0,,,,,0,,0,0,,24,,,,,,,Matches,d4890c25
104,Matthias Braunöder,at AUT,MF,Como,22,2002,8,268,34,7.8,3.0,3,65,1,5,14,28,0.75,1,9,-8,-2.69,-2.83,Matches,bce728e1
105,Iker Bravo,es ESP,FW,Udinese,19,2005,29,682,24,19.9,7.6,4,64,0,25,17,7,1.17,7,11,-4,-0.53,-0.17,Matches,db8c8860
106,Brayan,br BRA,FW,Empoli,18,2006,0,,,,,0,,0,0,,3,,,,,,,Matches,d2fc2c0c
107,Josip Brekalo,hr CRO,FWMF,Fiorentina,26,1998,0,,,,,0,,0,0,,2,,,,,,,Matches,d4a2533d
108,Gleison Bremer,br BRA,DF,Juventus,27,1997,6,540,90,15.8,6.0,6,90,6,0,,0,2.00,9,0,+9,+1.50,+1.06,Matches,5fd5ed86
109,Brenner,br BRA,MFFW,Udinese,24,2000,9,386,43,11.3,4.3,5,70,1,4,9,10,1.56,5,4,+1,+0.23,+0.71,Matches,279508bf
110,Marco Brescianini,it ITA,MF,Atalanta,24,2000,29,991,34,29.0,11.0,9,63,1,20,21,5,1.83,21,13,+8,+0.73,-0.50,Matches,dfd56738
111,Arvid Brorsson,se SWE,DF,Monza,25,1999,6,362,60,10.6,4.0,3,90,3,3,31,10,0.67,3,11,-8,-1.99,-1.02,Matches,9f2989f4
112,Bruno,br BRA,GK,Venezia,26,1998,0,,,,,0,,0,0,,11,,,,,,,Matches,e51336b7
113,Tajon Buchanan,ca CAN,DFMF,Inter,25,1999,6,95,16,2.8,1.1,0,,0,6,16,7,2.67,2,1,+1,+0.95,-0.22,Matches,3aca6420
114,Alessandro Buongiorno,it ITA,DF,Napoli,25,1999,22,1924,87,56.3,21.4,22,87,20,0,,4,2.14,33,14,+19,+0.89,+0.11,Matches,4ae67f27
115,Rareș-Cătălin Burnete,ro ROU,FW,Lecce,20,2004,4,28,7,0.8,0.3,0,,0,4,7,23,1.00,0,2,-2,-6.43,-5.66,Matches,7c4b4e36
116,Gianluca Busio,us USA,MF,Venezia,22,2002,33,2518,76,73.6,28.0,28,85,16,5,29,1,0.82,25,45,-20,-0.71,-0.32,Matches,4a0b7f07
117,Jean Butez,fr FRA,GK,Como,29,1995,19,1666,88,48.7,18.5,18,90,18,1,46,1,1.47,26,20,+6,+0.32,+0.79,Matches,7f40333d
118,Naïm Byar,ma MAR,MF,Bologna,19,2005,0,,,,,0,,0,0,,2,,,,,,,Matches,d40f0695
119,Liberato Cacace,nz NZL,MFDF,Empoli,23,2000,33,2230,68,65.2,24.8,24,86,16,9,20,4,0.85,21,46,-25,-1.01,-0.93,Matches,dd86e8e4
120,Alessio Cacciamani,it ITA,MF,Torino,17,2007,2,31,16,0.9,0.3,0,,0,2,16,4,0.00,0,0,0,0.00,+0.16,Matches,2028c5c3
121,Davide Calabria,it ITA,DF,Bologna,27,1996,11,632,57,18.5,7.0,7,86,5,4,8,2,1.82,13,6,+7,+1.00,+0.90,Matches,2146785a
122,Davide Calabria,it ITA,DF,Milan,27,1996,7,316,45,9.2,3.5,4,72,0,3,10,9,1.71,3,5,-2,-0.57,-1.15,Matches,2146785a
123,Luca Caldirola,it ITA,DF,Monza,33,1991,14,876,63,25.6,9.7,10,75,6,4,31,9,0.21,3,16,-13,-1.34,-0.35,Matches,226008f1
124,Hakan Çalhanoğlu,tr TUR,MF,Inter,30,1994,29,1947,67,56.9,21.6,26,72,6,3,25,1,2.07,46,20,+26,+1.20,+0.10,Matches,cd0fa27b
125,Alessandro Calligaris,it ITA,GK,Inter,19,2005,0,,,,,0,,0,0,,14,,,,,,,Matches,2bd46514
126,Drissa Camara,ci CIV,FW,Parma,22,2002,21,447,21,13.1,5.0,1,57,0,20,20,16,0.81,5,13,-8,-1.61,-1.43,Matches,543d9d2b
127,Francesco Camarda,it ITA,FW,Milan,16,2008,10,206,21,6.0,2.3,1,65,0,9,16,16,1.30,5,3,+2,+0.87,+0.43,Matches,1956a64b
128,Nicolò Cambiaghi,it ITA,MFFW,Bologna,23,2000,18,620,34,18.1,6.9,4,69,1,14,25,1,1.61,11,7,+4,+0.58,+0.39,Matches,91ff775f
129,Andrea Cambiaso,it ITA,DFMF,Juventus,24,2000,33,2221,67,64.9,24.7,25,81,16,8,25,0,1.79,35,20,+15,+0.61,+0.01,Matches,247ed022
130,Thomas Campaniello,it ITA,FW,Empoli,16,2008,3,25,8,0.7,0.3,0,,0,3,8,9,0.00,0,1,-1,-3.60,-2.94,Matches,cb88e494
131,Matteo Cancellieri,it ITA,MFFW,Parma,22,2002,27,1424,53,41.6,15.8,19,65,2,8,23,2,1.00,17,26,-9,-0.57,-0.34,Matches,b6a1cdf9
132,Fali Candé,gw GNB,DF,Venezia,26,1998,17,1530,90,44.7,17.0,17,90,17,0,,0,0.82,13,22,-9,-0.53,+0.18,Matches,3cc4bb19
133,Antonio Candela,it ITA,MFDF,Venezia,24,2000,14,1008,72,29.5,11.2,12,80,6,2,24,5,0.71,9,23,-14,-1.25,-0.88,Matches,d4307c52
134,Gianluca Caprari,it ITA,MFFW,Monza,31,1993,34,1651,49,48.3,18.3,18,74,3,16,20,0,0.53,14,31,-17,-0.93,+0.29,Matches,54e53b7e
135,Elia Caprile,it ITA,GK,Napoli,22,2001,4,325,81,9.5,3.6,3,90,3,1,55,15,2.50,6,1,+5,+1.38,+0.60,Matches,97d7afbd
136,Elia Caprile,it ITA,GK,Cagliari,22,2001,18,1620,90,47.4,18.0,18,90,18,0,,0,1.06,22,22,0,0.00,+0.80,Matches,97d7afbd
137,Francesco Caputo,it ITA,FW,Empoli,36,1987,1,6,6,0.2,0.1,0,,0,1,6,0,1.00,0,0,0,0.00,+0.69,Matches,5bd72174
138,Maxence Caqueret,fr FRA,MF,Como,24,2000,18,1087,60,31.8,12.1,15,67,1,3,26,1,1.67,21,12,+9,+0.75,+1.21,Matches,f81ef10d
139,Filippo Carbone,it ITA,MF,Genoa,17,2006,0,,,,,0,,0,0,,1,,,,,,,Matches,252ac080
140,Andrea Carboni,it ITA,DF,Monza,23,2001,26,2191,84,64.1,24.3,25,86,19,1,52,6,0.62,21,39,-18,-0.74,+0.94,Matches,f7e2af2c
141,Franco Carboni,it ITA,MF,Venezia,21,2003,8,226,28,6.6,2.5,3,56,0,5,12,27,0.63,2,1,+1,+0.40,+1.10,Matches,b033f803
142,Marco Carnesecchi,it ITA,GK,Atalanta,24,2000,34,3060,90,89.5,34.0,34,90,34,0,,2,1.88,65,34,+31,+0.91,-1.59,Matches,8ec56e62
143,Cesare Casadei,it ITA,MF,Torino,21,2003,15,1017,68,29.7,11.3,13,75,4,2,24,0,1.13,10,13,-3,-0.27,-0.15,Matches,fb920f3a
144,Nicolò Casale,it ITA,DF,Bologna,26,1998,15,900,60,26.3,10.0,9,84,7,6,24,17,1.73,14,16,-2,-0.20,-0.63,Matches,3f5f38fb
145,Nicolò Casale,it ITA,DF,Lazio,26,1998,2,135,68,3.9,1.5,2,68,1,0,,0,1.50,3,2,+1,+0.67,+0.37,Matches,3f5f38fb
146,Federico Cassa,it ITA,MF,Atalanta,18,2006,2,14,7,0.4,0.2,0,,0,2,7,4,1.50,0,0,0,0.00,-1.08,Matches,5f209d47
147,Tommaso Cassandro,it ITA,DFMF,Como,24,2000,0,,,,,0,,0,0,,1,,,,,,,Matches,6c4307ee
148,Marco Cassin,it ITA,GK,Udinese,16,2008,0,,,,,0,,0,0,,1,,,,,,,Matches,6e90814e
149,Valentín Castellanos,ar ARG,FW,Lazio,25,1998,29,2384,82,69.7,26.5,28,84,16,1,31,2,1.90,48,28,+20,+0.76,+1.45,Matches,da76bab4
150,Santiago Castro,ar ARG,FW,Bologna,19,2004,36,2294,64,67.1,25.5,27,78,9,9,21,1,1.64,37,32,+5,+0.20,-0.20,Matches,ee5565ae
151,Gaetano Castrovilli,it ITA,MF,Monza,27,1997,12,596,50,17.4,6.6,7,66,0,5,27,3,0.33,5,12,-7,-1.06,+0.03,Matches,0728bebe
152,Gaetano Castrovilli,it ITA,MF,Lazio,27,1997,9,148,16,4.3,1.6,1,60,0,8,11,10,1.78,3,4,-1,-0.61,-0.97,Matches,0728bebe
153,Danilo Cataldi,it ITA,MF,Lazio,29,1994,0,,,,,0,,0,0,,2,,,,,,,Matches,ba3d3bea
154,Danilo Cataldi,it ITA,MF,Fiorentina,29,1994,25,1728,69,50.5,19.2,23,73,8,2,21,1,1.64,31,20,+11,+0.57,+0.15,Matches,ba3d3bea
155,Zeki Çelik,tr TUR,DFMF,Roma,27,1997,31,2256,73,66.0,25.1,27,80,16,4,26,3,1.61,26,25,+1,+0.04,-1.51,Matches,31a62dc7
156,Alberto Cerri,it ITA,FW,Como,28,1996,5,87,17,2.5,1.0,0,,0,5,17,8,0.20,0,4,-4,-4.14,-4.16,Matches,1079c685
157,Gabriel Charpentier,cg CGO,FW,Parma,25,1999,10,271,27,7.9,3.0,0,,0,10,27,0,1.00,5,6,-1,-0.33,+0.04,Matches,c52bea9e
158,Walid Cheddira,ma MAR,FW,Napoli,26,1998,1,12,12,0.4,0.1,0,,0,1,12,1,0.00,0,1,-1,-7.50,-8.37,Matches,0545a08e
159,Leandro Chichizola,ar ARG,GK,Parma,34,1990,1,90,90,2.6,1.0,1,90,1,0,,18,0.00,2,3,-1,-1.00,-0.65,Matches,8d957256
160,Alessio Chiesa,it ITA,DF,Como,18,2006,0,,,,,0,,0,0,,1,,,,,,,Matches,aeecd2dd
161,Alberto Chiesurin,it ITA,MF,Venezia,19,2005,0,,,,,0,,0,0,,8,,,,,,,Matches,69cd33db
162,Federico Chinetti,it ITA,FW,Como,19,2005,0,,,,,0,,0,0,,7,,,,,,,Matches,2c30eca2
163,Niccolò Chiorra,it ITA,GK,Empoli,23,2001,0,,,,,0,,0,0,,1,,,,,,,Matches,c89c821b
164,Samuel Chukwueze,ng NGA,MFFW,Milan,25,1999,26,925,36,27.0,10.3,9,73,1,17,16,8,1.46,17,11,+6,+0.58,+0.15,Matches,b8a642fc
165,Aaron Ciammaglichella,it ITA,MF,Torino,19,2005,1,1,1,0.0,0.0,0,,0,1,1,12,3.00,0,0,0,0.00,+0.16,Matches,20525799
166,Giuseppe Ciocci,it ITA,GK,Cagliari,22,2002,1,9,9,0.3,0.1,0,,0,1,9,25,0.00,0,0,0,0.00,+0.42,Matches,d6416327
167,Alessandro Circati,au AUS,DF,Parma,20,2003,6,540,90,15.8,6.0,6,90,6,0,,6,1.33,9,9,0,0.00,+0.44,Matches,1223765c
168,Alphadjo Cissè,it ITA,MF,Hellas Verona,17,2006,2,9,5,0.3,0.1,0,,0,2,5,33,0.00,0,0,0,0.00,+0.84,Matches,d079becb
169,Patrick Ciurria,it ITA,MF,Monza,29,1995,21,1111,53,32.5,12.3,12,80,7,9,17,8,0.38,6,23,-17,-1.38,-0.44,Matches,5de3866c
