--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
61,Mehdi Bourabia,ma MAR,MF,Sassuolo,28,1991,5.9,1,9,3,33.3,1.53,0.51,0.11,0.33,0,0,Matches,0d077b88
62,Edoardo Bove,it ITA,MF,Roma,18,2002,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,ae94a6c5
63,Jayden Braaf,nl NED,FW,Udinese,17,2002,1.3,1,2,2,100.0,1.55,1.55,0.50,0.50,0,0,Matches,c609e90e
64,Gleison Bremer,br BRA,DF,Torino,23,1997,32.6,5,26,9,34.6,0.80,0.28,0.19,0.56,0,0,Matches,5fd5ed86
65,Marcelo Brozović,hr CRO,MF,Inter,27,1992,28.7,2,25,4,16.0,0.87,0.14,0.08,0.50,0,0,Matches,33b8d077
66,Gastón Brugman,uy URU,MF,Parma,27,1992,18.0,1,19,9,47.4,1.06,0.50,0.05,0.11,0,0,Matches,e947ee4a
67,Juan Brunetta,ar ARG,FWMF,Parma,23,1997,5.3,1,10,5,50.0,1.89,0.95,0.10,0.20,0,0,Matches,d60099bc
68,Gianluigi Buffon,it ITA,GK,Juventus,42,1978,8.0,0,0,0,,0.00,0.00,,,0,0,Matches,e40d028b
69,Alessandro Buongiorno,it ITA,DF,Torino,21,1999,9.5,0,3,0,0.0,0.31,0.00,0.00,,0,0,Matches,4ae67f27
70,Maxime Busi,be BEL,DFMF,Parma,20,1999,13.3,0,7,1,14.3,0.53,0.08,0.00,0.00,0,0,Matches,7b082ec2
71,Martín Cáceres,uy URU,DFMF,Fiorentina,33,1987,24.9,2,15,6,40.0,0.60,0.24,0.13,0.33,0,0,Matches,e94d79e3
72,Felipe Caicedo,ec ECU,FW,Lazio,31,1988,10.3,8,33,14,42.4,3.20,1.36,0.24,0.57,1,1,Matches,93b891d1
73,Arturo Calabresi,it ITA,DF,Bologna,24,1996,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,34bb6fbd
74,Arturo Calabresi,it ITA,DF,Cagliari,24,1996,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,34bb6fbd
75,Davide Calabria,it ITA,DF,Milan,23,1996,29.4,2,24,7,29.2,0.82,0.24,0.08,0.29,0,0,Matches,2146785a
76,Riccardo Calafiori,it ITA,DF,Roma,18,2002,0.7,0,0,0,,0.00,0.00,,,0,0,Matches,aded8e6f
77,Mattia Caldara,it ITA,DF,Atalanta,26,1994,1.2,0,2,0,0.0,1.62,0.00,0.00,,0,0,Matches,ac7e640b
78,Luca Caldirola,it ITA,DF,Benevento,29,1991,17.5,2,8,4,50.0,0.46,0.23,0.25,0.50,0,0,Matches,226008f1
79,Hakan Çalhanoğlu,tr TUR,MF,Milan,26,1994,29.0,4,84,23,27.4,2.89,0.79,0.05,0.17,1,1,Matches,cd0fa27b
80,Fabrizio Caligara,it ITA,MF,Cagliari,20,2000,2.0,0,0,0,,0.00,0.00,,,0,0,Matches,22ca11f1
81,José Callejón,es ESP,FWMF,Fiorentina,33,1987,7.4,0,9,1,11.1,1.22,0.14,0.00,0.00,0,0,Matches,78841da9
82,Drissa Camara,ci CIV,MF,Parma,18,2002,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,543d9d2b
83,Antonio Candreva,it ITA,MF,Sampdoria,33,1987,27.8,5,57,20,35.1,2.05,0.72,0.09,0.25,2,2,Matches,356c9002
84,Elio Capradossi,ug UGA,DF,Spezia,24,1996,1.0,0,1,0,0.0,1.00,0.00,0.00,,0,0,Matches,174944a3
85,Gianluca Caprari,it ITA,MFFW,Benevento,27,1993,20.7,5,48,15,31.3,2.32,0.72,0.10,0.33,0,1,Matches,54e53b7e
86,Francesco Caputo,it ITA,FW,Sassuolo,32,1987,18.9,11,43,20,46.5,2.28,1.06,0.26,0.55,3,3,Matches,5bd72174
87,Andrea Carboni,it ITA,DF,Cagliari,19,2001,12.1,0,5,0,0.0,0.41,0.00,0.00,,0,0,Matches,f7e2af2c
88,Giuseppe Caso,it ITA,FWMF,Genoa,21,1998,0.6,0,0,0,,0.00,0.00,,,0,0,Matches,099a2de5
89,Francesco Cassata,it ITA,MF,Genoa,23,1997,2.5,0,1,1,100.0,0.40,0.40,0.00,0.00,0,0,Matches,96960855
90,Samu Castillejo,es ESP,MF,Milan,25,1995,13.1,1,25,7,28.0,1.91,0.53,0.04,0.14,0,0,Matches,130a7a3f
91,Gaetano Castrovilli,it ITA,MF,Fiorentina,23,1997,25.9,5,32,13,40.6,1.23,0.50,0.16,0.38,0,0,Matches,0728bebe
92,Danilo Cataldi,it ITA,MF,Lazio,25,1994,6.3,0,6,2,33.3,0.95,0.32,0.00,0.00,0,0,Matches,ba3d3bea
93,Federico Ceccherini,it ITA,DF,Hellas Verona,28,1992,19.3,0,12,0,0.0,0.62,0.00,0.00,,0,0,Matches,d9624b51
94,Federico Ceccherini,it ITA,DF,Fiorentina,28,1992,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,d9624b51
95,Luca Ceppitelli,it ITA,DF,Cagliari,30,1989,16.3,0,7,2,28.6,0.43,0.12,0.00,0.00,0,0,Matches,7d50454d
96,Alberto Cerri,it ITA,FW,Cagliari,24,1996,4.1,1,16,6,37.5,3.90,1.46,0.06,0.17,0,0,Matches,1079c685
