--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Performance,,,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
72,Felipe Caicedo,ec ECU,FW,Lazio,31,1988,10.3,5,0,0,26,17,8,0,4,7,,,0,Matches,93b891d1
73,Arturo Calabresi,it ITA,DF,Bologna,24,1996,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches,34bb6fbd
74,Arturo Calabresi,it ITA,DF,Cagliari,24,1996,0.2,0,0,0,0,0,0,1,0,0,,,0,Matches,34bb6fbd
75,Davide Calabria,it ITA,DF,Milan,23,1996,29.4,7,0,0,31,36,3,71,33,67,,,1,Matches,2146785a
76,Riccardo Calafiori,it ITA,DF,Roma,18,2002,0.7,2,0,0,6,2,0,0,0,1,,,0,Matches,aded8e6f
77,Mattia Caldara,it ITA,DF,Atalanta,26,1994,1.2,1,0,0,3,1,0,1,3,0,,,0,Matches,ac7e640b
78,Luca Caldirola,it ITA,DF,Benevento,29,1991,17.5,6,1,1,20,25,1,3,20,12,,,0,Matches,226008f1
79,Hakan Çalhanoğlu,tr TUR,MF,Milan,26,1994,29.0,4,0,0,29,44,3,222,16,9,,,0,Matches,cd0fa27b
80,Fabrizio Caligara,it ITA,MF,Cagliari,20,2000,2.0,2,0,0,11,2,0,7,3,4,,,0,Matches,22ca11f1
81,José Callejón,es ESP,FWMF,Fiorentina,33,1987,7.4,0,0,0,7,12,0,26,4,7,,,0,Matches,78841da9
82,Drissa Camara,ci CIV,MF,Parma,18,2002,0.2,0,0,0,0,0,0,1,0,0,,,0,Matches,543d9d2b
83,Antonio Candreva,it ITA,MF,Sampdoria,33,1987,27.8,1,0,0,15,29,10,288,9,20,,,0,Matches,356c9002
84,Elio Capradossi,ug UGA,DF,Spezia,24,1996,1.0,0,0,0,1,0,0,0,1,1,,,0,Matches,174944a3
85,Gianluca Caprari,it ITA,MFFW,Benevento,27,1993,20.7,4,1,0,23,55,9,103,17,12,,,0,Matches,54e53b7e
86,Francesco Caputo,it ITA,FW,Sassuolo,32,1987,18.9,1,0,0,16,32,19,0,1,0,,,0,Matches,5bd72174
87,Andrea Carboni,it ITA,DF,Cagliari,19,2001,12.1,2,0,0,11,6,0,22,14,24,,,0,Matches,f7e2af2c
88,Giuseppe Caso,it ITA,FWMF,Genoa,21,1998,0.6,0,0,0,2,2,0,2,0,0,,,0,Matches,099a2de5
89,Francesco Cassata,it ITA,MF,Genoa,23,1997,2.5,2,0,0,9,8,0,6,2,6,,,0,Matches,96960855
90,Samu Castillejo,es ESP,MF,Milan,25,1995,13.1,5,0,0,25,31,4,33,5,12,,,0,Matches,130a7a3f
91,Gaetano Castrovilli,it ITA,MF,Fiorentina,23,1997,25.9,8,1,0,41,63,1,37,35,22,,,0,Matches,0728bebe
92,Danilo Cataldi,it ITA,MF,Lazio,25,1994,6.3,4,0,0,9,5,0,30,10,3,,,0,Matches,ba3d3bea
93,Federico Ceccherini,it ITA,DF,Hellas Verona,28,1992,19.3,8,0,0,48,33,1,7,43,11,,,0,Matches,d9624b51
94,Federico Ceccherini,it ITA,DF,Fiorentina,28,1992,3.0,2,0,0,5,3,0,0,7,1,,,1,Matches,d9624b51
95,Luca Ceppitelli,it ITA,DF,Cagliari,30,1989,16.3,3,0,0,16,13,1,11,33,21,,,0,Matches,7d50454d
96,Alberto Cerri,it ITA,FW,Cagliari,24,1996,4.1,1,0,0,18,15,1,2,3,2,,,0,Matches,1079c685
97,Julian Chabot,de GER,DF,Spezia,22,1998,18.4,11,1,1,32,32,0,3,38,35,,,0,Matches,ae7058f9
98,Giorgio Chiellini,it ITA,DF,Juventus,35,1984,15.4,4,0,0,19,15,1,3,28,9,,,1,Matches,e85fb9b8
99,Federico Chiesa,it ITA,MF,Juventus,22,1997,24.6,3,1,0,30,36,11,72,13,25,,,0,Matches,b0f7e36c
100,Federico Chiesa,it ITA,MF,Fiorentina,22,1997,2.7,0,0,0,2,3,2,11,1,2,,,0,Matches,b0f7e36c
101,Vlad Chiricheș,ro ROU,DF,Sassuolo,30,1989,20.4,6,0,0,31,15,1,5,53,22,,,1,Matches,c316607a
102,Luca Cigarini,it ITA,MF,Crotone,34,1986,10.3,5,1,1,25,18,0,24,15,13,,,0,Matches,ae64d449
103,Antonio Cioffi,it ITA,FW,Napoli,17,2002,0.1,0,0,0,0,0,0,0,1,0,,,0,Matches,3f1107d5
104,Ebrima Colley,gm GAM,MFFW,Hellas Verona,20,2000,8.2,1,0,0,13,17,7,12,6,5,,,0,Matches,bf356094
105,Omar Colley,gm GAM,DF,Sampdoria,27,1992,28.8,6,0,0,34,22,1,5,70,18,,,0,Matches,8b95acda
106,Simone Colombi,it ITA,GK,Parma,29,1991,2.0,0,0,0,0,0,0,0,0,0,,,0,Matches,72be9309
107,Lorenzo Colombo,it ITA,FW,Milan,18,2002,1.0,0,0,0,1,0,3,1,0,1,,,0,Matches,04df29a5
108,Andrea Consigli,it ITA,GK,Sassuolo,33,1987,37.0,1,0,0,2,5,0,0,0,1,,,0,Matches,8cabdc1e
109,Andrea Conti,it ITA,DFMF,Milan,26,1994,0.3,0,0,0,2,1,0,1,0,1,,,0,Matches,8fef5412
110,Andrea Conti,it ITA,DFMF,Parma,26,1994,9.0,3,0,0,15,8,0,24,18,11,,,0,Matches,8fef5412
111,Alex Cordaz,it ITA,GK,Crotone,37,1983,36.0,1,0,0,0,7,0,1,1,0,,,0,Matches,e66ebabb
112,Andreas Cornelius,dk DEN,FW,Parma,27,1993,21.1,4,0,0,35,48,15,6,1,4,,,0,Matches,c693347d
113,Joaquín Correa,ar ARG,FW,Lazio,25,1994,21.5,3,1,1,24,52,5,23,7,13,,,0,Matches,45b9b619
114,Félix Correia,pt POR,FWMF,Juventus,19,2001,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches,c803c92a
115,Douglas Costa,br BRA,FWMF,Juventus,29,1990,0.5,0,0,0,0,0,0,4,0,0,,,0,Matches,4fa7cb9b
116,Angelo da Costa Júnior,br BRA,GK,Bologna,36,1983,6.0,2,0,0,0,0,1,0,0,0,,,0,Matches,18736214
117,Mamadou Coulibaly,sn SEN,MF,Udinese,21,1999,2.0,0,0,0,3,1,1,3,1,7,,,0,Matches,c976160c
118,Alessio Cragno,it ITA,GK,Cagliari,26,1994,34.0,1,0,0,3,6,0,0,1,1,,,0,Matches,f554e29b
119,Gian Crespi,it ITA,GK,Crotone,19,2001,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches,4dea2f2c
120,Domenico Criscito,it ITA,DF,Genoa,33,1986,19.2,6,0,0,23,26,0,26,44,22,,,0,Matches,35dd6d80
121,Bryan Cristante,it ITA,DFMF,Roma,25,1995,23.9,8,0,0,31,13,4,10,40,22,,,1,Matches,16657b95
122,Giovanni Crociata,it ITA,MF,Crotone,22,1997,0.3,0,0,0,2,1,0,1,0,0,,,0,Matches,8c964914
123,Juan Cuadrado,co COL,DFMF,Juventus,32,1988,24.2,9,1,0,33,65,3,160,46,25,,,0,Matches,0ab1f153
124,Giuseppe Cuomo,it ITA,DF,Crotone,22,1998,8.9,4,0,0,15,6,0,1,18,20,,,0,Matches,ae5b04fe
125,Patrick Cutrone,it ITA,FW,Fiorentina,22,1998,2.2,0,0,0,8,3,0,4,1,4,,,0,Matches,a4fe8cda
126,Wylan Cyprien,fr FRA,MF,Parma,25,1995,4.6,2,0,0,6,7,0,19,3,5,,,0,Matches,3e092724
127,Lennart-Marten Czyborra,de GER,MF,Genoa,21,1999,13.0,2,0,0,11,4,0,27,19,11,,,0,Matches,7ba1f1ef
128,Danilo D'Ambrosio,it ITA,DF,Inter,31,1988,7.8,2,0,0,11,12,0,9,7,9,,,0,Matches,44eb9093
129,Bryan Dabo,bf BFA,MF,Benevento,28,1992,12.4,5,0,0,18,19,1,14,13,7,,,0,Matches,c53083ad
130,Diogo Dalot,pt POR,DF,Milan,21,1999,12.1,5,0,0,25,4,2,34,27,18,,,0,Matches,d9565625
131,Mikkel Damsgaard,dk DEN,MFFW,Sampdoria,20,2000,19.7,3,0,0,26,28,3,63,25,23,,,0,Matches,215f3907
132,Danilo,br BRA,DFMF,Juventus,29,1991,32.4,6,0,0,25,20,2,39,74,30,,,0,Matches,94b2001f
133,Andrea Danzi,it ITA,MF,Hellas Verona,21,1999,1.2,1,0,0,1,0,0,0,3,0,,,0,Matches,263b855a
134,Ebrima Darboe,gm GAM,MF,Roma,19,2001,3.6,2,0,0,3,3,0,0,8,2,,,0,Matches,cf043a33
135,Matteo Darmian,it ITA,DF,Parma,30,1989,2.3,1,0,0,3,3,0,2,7,6,,,0,Matches,96e0490d
136,Matteo Darmian,it ITA,MF,Inter,30,1989,12.9,4,0,0,21,16,2,30,17,17,,,0,Matches,96e0490d
137,Paweł Dawidowicz,pl POL,DF,Hellas Verona,25,1995,20.7,9,0,0,38,9,2,9,34,31,,,0,Matches,16bb656a
138,Sebastien De Maio,fr FRA,DF,Udinese,33,1987,9.5,1,0,0,11,3,3,1,19,11,,,0,Matches,952a03fe
139,Rodrigo De Paul,ar ARG,MF,Udinese,26,1994,35.6,5,2,1,35,125,1,261,16,25,,,0,Matches,162efffd
140,Mattia De Sciglio,it ITA,DFMF,Juventus,27,1992,0.3,0,0,0,1,0,0,1,0,0,,,0,Matches,ae4e2852
141,Lorenzo De Silvestri,it ITA,DF,Bologna,32,1988,23.8,4,0,0,42,21,1,42,32,22,,,0,Matches,e74f0e59
142,Grégoire Defrel,mq MTQ,MFFW,Sassuolo,29,1991,14.8,1,0,0,15,20,5,9,6,10,,,0,Matches,854ee61a
143,Alessandro Deiola,it ITA,MF,Spezia,24,1995,4.0,1,0,0,6,5,0,8,3,6,,,0,Matches,7f267d66
144,Alessandro Deiola,it ITA,MF,Cagliari,24,1995,6.8,2,0,0,12,3,0,7,12,4,,,0,Matches,7f267d66
145,Lorenzo Del Pinto,it ITA,MF,Benevento,30,1990,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,081b6080
146,Cristian Dell'Orco,it ITA,DF,Spezia,26,1994,2.9,0,0,0,2,2,0,1,7,0,,,0,Matches,b0243215
147,Merih Demiral,tr TUR,DF,Juventus,22,1998,10.4,1,0,0,11,1,2,0,21,10,,,0,Matches,e3cceee6
148,Diego Demme,de GER,MF,Napoli,28,1991,17.7,6,0,0,33,28,1,5,13,29,,,0,Matches,dc3fa3b5
149,Stefano Denswil,sr SUR,DF,Bologna,27,1993,1.3,0,0,0,0,2,0,0,1,1,,,0,Matches,5832ebfe
150,Fabio Depaoli,it ITA,DFMF,Benevento,23,1997,12.4,2,0,0,17,8,1,24,14,13,,,1,Matches,d97f2e8d
151,Fabio Depaoli,it ITA,MF,Sampdoria,23,1997,0.9,0,0,0,5,2,2,2,1,0,,,0,Matches,d97f2e8d
152,Fabio Depaoli,it ITA,MF,Atalanta,23,1997,2.1,0,0,0,5,1,0,1,3,2,,,0,Matches,d97f2e8d
153,Kastriot Dermaku,al ALB,DF,Parma,28,1992,1.1,0,0,0,2,2,0,0,2,1,,,0,Matches,2990c466
154,Kiril Despodov,bg BUL,FWMF,Cagliari,23,1996,0.1,0,0,0,1,0,0,0,0,1,,,0,Matches,13c8e5f6
155,Mattia Destro,it ITA,FW,Genoa,29,1991,17.8,5,0,0,39,37,23,4,3,3,,,0,Matches,d7d32194
156,Gerard Deulofeu,es ESP,FWMF,Udinese,26,1994,6.6,0,0,0,7,6,11,33,4,3,,,0,Matches,39583cfd
157,Jacopo Dezi,it ITA,FW,Parma,28,1992,0.9,0,0,0,1,3,0,4,0,4,,,0,Matches,e921b9db
158,Samuel Di Carmine,it ITA,FW,Hellas Verona,31,1988,5.6,1,0,0,16,20,6,11,0,3,,,0,Matches,ef94dc2f
159,Samuel Di Carmine,it ITA,FW,Crotone,31,1988,5.3,1,0,0,5,15,0,3,1,2,,,0,Matches,ef94dc2f
160,Giovanni Di Lorenzo,it ITA,DF,Napoli,26,1993,36.0,11,0,0,50,60,3,74,36,58,,,0,Matches,230a2fac
161,Alessandro Di Pardo,it ITA,DFMF,Juventus,21,1999,0.2,0,0,0,0,1,0,1,0,0,,,0,Matches,e0ce7038
162,Giuseppe Di Serio,it ITA,FW,Benevento,19,2001,3.2,1,0,0,13,17,2,1,0,2,,,0,Matches,5048486b
163,Amad Diallo,ci CIV,FWMF,Atalanta,18,2002,0.2,1,0,0,1,2,0,0,0,0,,,0,Matches,9dc96f10
164,Amadou Diambo,gh GHA,MF,Benevento,19,2001,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,c3a847c7
165,Amadou Diawara,gn GUI,MF,Roma,23,1997,7.3,4,1,1,17,4,0,0,13,8,,,0,Matches,bf309d24
166,Brahim Díaz,ma MAR,MF,Milan,20,1999,13.6,2,0,0,14,29,1,16,2,10,,,0,Matches,407feb71
167,Daan Dierckx,be BEL,DF,Parma,17,2003,5.2,1,0,0,5,0,1,0,11,4,,,0,Matches,3a35db3d
168,Mitchell Dijks,nl NED,DF,Bologna,27,1993,16.5,7,1,1,33,15,1,38,18,14,,,0,Matches,0a3065c8
169,Federico Dimarco,it ITA,DFMF,Hellas Verona,22,1997,29.0,6,0,0,32,50,6,259,50,19,,,0,Matches,970b8574
170,Koffi Djidji,ci CIV,DF,Crotone,27,1992,16.9,4,0,0,22,3,1,5,34,27,,,0,Matches,933d3b51
