--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,,-additional
31,Ivan Provedel,it ITA,GK,Lazio,31,1994,27,27,2430,27.0,27,1.00,116,87,76.7,8,10,9,12,44.4,4,3,1,0,25.0,Matches,277da414
32,Federico Ravaglia,it ITA,GK,Bologna,25,1999,17,16,1470,16.3,29,1.78,81,52,64.2,4,3,9,2,12.5,2,2,0,0,0.0,Matches,6662d731
33,Filippo Rinaldi,it ITA,GK,Parma,22,2002,1,1,90,1.0,0,0.00,4,4,100.0,0,1,0,1,100.0,0,0,0,0,,Matches,49124fc6
34,Razvan Sava,ro ROU,GK,Udinese,23,2002,7,6,620,6.9,14,2.03,28,14,50.0,2,2,2,1,16.7,0,0,0,0,,Matches,41efbd34
35,Simone Scuffet,it ITA,GK,Pisa,29,1996,7,7,630,7.0,15,2.14,29,14,48.3,0,3,4,1,14.3,3,3,0,0,0.0,Matches,41bd99ea
36,Adrian Šemper,hr CRO,GK,Pisa,27,1998,25,25,2250,25.0,42,1.68,124,82,66.1,1,9,15,4,16.0,2,2,0,0,0.0,Matches,f02dde20
37,Marco Silvestri,it ITA,GK,Cremonese,34,1991,4,4,360,4.0,7,1.75,22,15,68.2,0,3,1,0,0.0,0,0,0,0,,Matches,0d422df7
38,Łukasz Skorupski,pl POL,GK,Bologna,34,1991,19,19,1592,17.7,18,1.02,51,33,64.7,10,4,5,8,42.1,2,2,0,0,0.0,Matches,ab4449d6
39,Daniele Sommariva,it ITA,GK,Genoa,28,1997,2,1,176,2.0,4,2.05,12,8,66.7,0,0,1,0,0.0,0,0,0,0,,Matches,a8e7f7e9
40,Yann Sommer,ch SUI,GK,Inter,36,1988,33,33,2960,32.9,30,0.91,95,64,68.4,23,5,5,15,45.5,4,4,0,0,0.0,Matches,420c18a1
41,Marco Sportiello,it ITA,GK,Atalanta,33,1992,1,1,90,1.0,1,1.00,4,3,75.0,0,1,0,0,0.0,0,0,0,0,,Matches,ac4003af
42,Zion Suzuki,jp JPN,GK,Parma,22,2002,20,20,1800,20.0,28,1.40,93,65,69.9,3,7,10,5,25.0,3,2,1,0,33.3,Matches,51e1f4f5
43,Mile Svilar,rs SRB,GK,Roma,25,1999,38,38,3420,38.0,31,0.82,138,107,77.5,23,4,11,18,47.4,1,1,0,0,0.0,Matches,bcf5058a
44,Pietro Terracciano,it ITA,GK,Milan,35,1990,2,1,125,1.4,0,0.00,4,4,100.0,1,0,0,2,200.0,0,0,0,0,,Matches,e1b0a70d
45,Stefano Turati,it ITA,GK,Sassuolo,23,2001,6,6,532,5.9,7,1.18,22,15,68.2,2,1,3,2,33.3,0,0,0,0,,Matches,bf168004
46,Gioele Zacchi,it ITA,GK,Sassuolo,22,2003,1,0,8,0.1,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches,8aa135ca


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2025-2026/keepers/2025-2026-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_keeper">View Original Table</a><br>Generated 8/25/2026.
