--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Performance,,,,,,,,,,,,,-additional
24,Juan Arizala,co COL,MF,Udinese,19,2005,2.1,0,0,0,1,1,0,6,1,3,,,0,Matches,82f2e5c8
25,Kristjan Asllani,al ALB,MF,Torino,23,2002,12.5,3,0,0,7,14,0,52,12,14,,,0,Matches,0fdcef0e
26,Zachary Athekame,ch SUI,MFDF,Milan,20,2004,9.3,3,0,0,16,12,2,46,4,8,,,0,Matches,c1356739
27,Arthur Atta,fr FRA,MF,Udinese,22,2003,28.4,3,0,0,23,32,8,56,23,17,,,0,Matches,d3ddf88b
28,Emil Audero,id IDN,GK,Cremonese,28,1997,34.0,0,0,0,0,6,0,0,0,0,,,0,Matches,649b01d8
29,Carlos Augusto,br BRA,MFDF,Inter,26,1999,19.6,6,0,0,26,13,0,46,19,22,,,0,Matches,8d3cd59d
30,Yann Aurel Bisseck,de GER,DF,Inter,24,2000,21.4,2,0,0,21,16,3,12,23,18,,,0,Matches,3963c25b
31,Neil El Aynaoui,ma MAR,MF,Roma,24,2001,11.1,5,0,0,23,10,2,17,18,10,,,0,Matches,17e1261b
32,Leon Bailey,jm JAM,FW,Roma,27,1997,2.1,0,0,0,2,1,1,14,0,0,,,0,Matches,3a233281
33,Mitchel Bakker,nl NED,DFMF,Atalanta,25,2000,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,a8567629
34,Darryl Bakola,fr FRA,MF,Sassuolo,17,2007,1.4,0,0,0,2,3,0,3,1,1,,,0,Matches,57de24a3
35,Luís Balbo,ve VEN,DF,Fiorentina,19,2006,2.4,0,0,0,2,6,0,5,1,5,,,0,Matches,cdcdb350
36,Tommaso Baldanzi,it ITA,MF,Genoa,22,2003,4.4,0,0,0,2,6,0,7,3,6,,,0,Matches,102e2599
37,Tommaso Baldanzi,it ITA,FWMF,Roma,22,2003,4.3,2,0,0,8,18,2,9,3,1,,,0,Matches,102e2599
38,Lameck Banda,zm ZAM,MFFW,Lecce,24,2001,19.5,6,1,0,44,49,3,90,7,17,,,0,Matches,8a6de8c7
39,Tommaso Barbieri,it ITA,MF,Cremonese,22,2002,19.0,8,0,0,40,26,1,78,14,26,,,0,Matches,6f1d7aa8
40,Nicolò Barella,it ITA,MF,Inter,28,1997,28.0,7,0,0,33,22,4,102,9,31,,,0,Matches,6928979a
41,Davide Bartesaghi,it ITA,MFDF,Milan,19,2005,27.1,3,0,0,18,14,4,139,15,35,,,1,Matches,7e0b6c50
42,Federico Baschirotto,it ITA,DF,Cremonese,28,1996,28.2,2,0,0,45,9,1,8,24,13,,,0,Matches,5a08ee41
43,Toma Bašić,hr CRO,MF,Lazio,28,1996,19.3,0,1,0,20,19,0,48,9,16,,,0,Matches,80556f08
44,Alessandro Bastoni,it ITA,DF,Inter,26,1999,24.9,6,0,0,45,20,0,85,21,39,,,0,Matches,75b86fb3
45,Martin Baturina,hr CRO,MFFW,Como,22,2003,17.4,0,0,0,15,44,0,77,5,14,,,0,Matches,d1eda5f0
46,Vakoun Bayo,ci CIV,FW,Udinese,28,1997,5.0,0,0,0,15,6,5,1,0,1,,,0,Matches,132f161f
47,Tjaš Begić,si SVN,MF,Parma,22,2003,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,7429c2bf
48,Reda Belahyane,ma MAR,MF,Lazio,21,2004,6.8,1,1,0,11,3,0,1,3,8,,,0,Matches,705a1642
49,Rafik Belghali,dz ALG,MF,Hellas Verona,23,2002,21.3,6,0,0,20,10,6,60,17,13,,,0,Matches,0abcb968
50,Armel Bella Kotchap,de GER,DF,Hellas Verona,23,2001,15.0,3,0,0,22,17,0,1,29,12,,,0,Matches,a39d11bc
51,Raoul Bellanova,it ITA,MF,Atalanta,25,2000,15.3,2,0,0,5,12,2,84,10,9,,,0,Matches,e3756e72
52,Andrea Belotti,it ITA,FW,Cagliari,31,1993,2.5,0,0,0,3,10,4,1,4,1,,,0,Matches,d705ba44
53,Adrian Benedyczak,pl POL,FW,Parma,24,2000,5.4,1,0,0,9,6,1,10,1,6,,,0,Matches,3f448184
54,Domenico Berardi,it ITA,FW,Sassuolo,30,1994,21.8,2,1,0,31,34,12,58,24,17,,,0,Matches,53a0e358
55,Medon Berisha,al ALB,MF,Lecce,21,2003,9.7,0,0,0,11,10,1,58,5,12,,,0,Matches,9d376bef
56,Adrian Bernabe,es ESP,MF,Parma,24,2001,27.4,0,0,0,15,61,1,81,17,23,,,0,Matches,548672b4
57,Federico Bernardeschi,it ITA,MFFW,Bologna,31,1994,13.5,3,0,0,13,11,2,48,6,6,,,0,Matches,ee93c1a9
58,Lorenzo Bernasconi,it ITA,MF,Atalanta,21,2003,17.5,3,0,0,8,5,3,113,14,16,,,0,Matches,c1041eb7
59,Antoine Bernede,fr FRA,MF,Hellas Verona,26,1999,25.6,2,0,0,55,20,1,25,16,39,,,0,Matches,07a821e4
60,Nicolò Bertola,it ITA,DFMF,Udinese,22,2003,19.6,3,0,0,19,12,1,8,24,21,,,0,Matches,04b40c58
61,Brando Bettazzi,it ITA,MF,Pisa,17,2007,0.2,0,0,0,1,1,0,0,0,1,,,0,Matches,86365b0f
62,Sam Beukema,nl NED,DF,Napoli,26,1998,18.7,2,0,0,19,5,1,6,14,17,,,0,Matches,de13cee5
63,Matteo Bianchetti,it ITA,DF,Cremonese,32,1993,24.4,4,0,0,28,15,0,6,19,30,,,0,Matches,b3a20f18
64,Justin Bijlow,nl NED,GK,Genoa,27,1998,15.5,1,0,0,1,1,0,0,0,0,,,0,Matches,53d93280
65,Cristiano Biraghi,it ITA,MFDF,Torino,32,1992,5.7,0,0,0,9,6,0,45,3,7,,,0,Matches,9e1577aa
66,Jeremie Boga,ci CIV,MFFW,Juventus,28,1997,7.5,1,0,0,3,7,1,30,2,3,,,0,Matches,fe012aca
67,Daniel Boloca,ro ROU,MF,Sassuolo,26,1998,1.5,0,0,0,0,1,0,1,2,2,,,0,Matches,85f7ed25
68,Federico Bonazzoli,it ITA,FW,Cremonese,28,1997,27.9,4,0,0,26,80,4,26,12,16,,,0,Matches,bf57eaab
69,Warren Bondo,fr FRA,MF,Cremonese,21,2003,19.6,5,0,0,39,33,0,3,9,16,,,0,Matches,0def2376
70,Giovanni Bonfanti,it ITA,DFMF,Pisa,22,2003,5.5,1,0,0,10,3,0,12,7,6,,,0,Matches,938d8a55
71,Ange-Yoan Bonny,ci CIV,FW,Inter,21,2003,12.7,1,0,0,17,24,9,6,1,9,,,0,Matches,64629ba4
72,Gennaro Borrelli,it ITA,FW,Cagliari,25,2000,14.2,4,0,0,43,49,5,2,3,6,,,0,Matches,04c4edc1
73,Kieron Bowie,sct SCO,FW,Hellas Verona,22,2002,13.3,1,0,0,34,27,3,6,0,3,,,0,Matches,6dd87204
74,Rosen Bozhinov,bg BUL,DF,Pisa,20,2005,6.8,3,1,1,12,1,2,3,12,5,,,0,Matches,8c053d3c
75,Domagoj Bradarić,hr CRO,MF,Hellas Verona,25,1999,21.8,2,0,0,8,10,2,108,9,20,,,0,Matches,8bbe2df5
76,Riccardo Braschi,it ITA,FW,Fiorentina,18,2006,1.2,0,0,0,0,0,1,1,0,0,,,0,Matches,74269b2c
77,Iker Bravo,es ESP,FW,Udinese,20,2005,2.3,1,0,0,3,1,0,4,0,1,,,0,Matches,db8c8860
78,Gleison Bremer,br BRA,DF,Juventus,28,1997,24.1,5,0,0,21,10,0,1,30,14,,,0,Matches,5fd5ed86
79,Marco Brescianini,it ITA,MF,Atalanta,25,2000,2.0,1,0,0,4,2,0,6,2,8,,,0,Matches,dfd56738
80,Marco Brescianini,it ITA,MF,Fiorentina,25,2000,9.6,1,0,0,13,9,0,11,1,2,,,0,Matches,dfd56738
81,Sascha Britschgi,ch SUI,MFDF,Parma,18,2006,23.3,7,1,1,18,23,0,48,8,18,,,0,Matches,a80fd995
82,Louis Buffon,cz CZE,FW,Pisa,17,2007,0.4,0,0,0,1,1,0,0,0,0,,,0,Matches,7f4fe346
83,Adam Buksa,pl POL,FW,Udinese,29,1996,10.2,3,0,0,24,15,3,1,3,8,,,0,Matches,3b676989
84,Alessandro Buongiorno,it ITA,DF,Napoli,26,1999,28.0,3,0,0,50,26,1,6,40,22,,,0,Matches,4ae67f27
85,Jean Butez,fr FRA,GK,Como,30,1995,38.0,3,0,0,0,9,0,0,0,2,,,0,Matches,7f40333d
86,Arturo Calabresi,it ITA,DF,Pisa,29,1996,16.8,8,0,0,33,25,1,17,19,13,,,0,Matches,34bb6fbd
87,Hakan Çalhanoğlu,tr TUR,MF,Inter,31,1994,18.2,7,0,0,28,11,0,86,19,17,,,0,Matches,cd0fa27b
88,Abdoulaye Camara,fr FRA,MF,Udinese,16,2008,0.1,0,0,0,0,0,0,2,0,0,,,0,Matches,b1617bd1
89,Francesco Camarda,it ITA,FW,Lecce,17,2008,7.6,1,0,0,12,4,2,1,0,1,,,0,Matches,1956a64b
90,Nicolò Cambiaghi,it ITA,MFFW,Bologna,24,2000,16.9,3,1,0,32,71,5,63,9,20,,,0,Matches,91ff775f
91,Andrea Cambiaso,it ITA,MFDF,Juventus,25,2000,30.8,3,1,0,29,21,2,123,20,39,,,2,Matches,247ed022
92,Matteo Cancellieri,it ITA,FW,Lazio,23,2002,19.2,6,0,0,39,67,3,21,24,28,,,0,Matches,b6a1cdf9
93,Fali Candé,gw GNB,DF,Sassuolo,27,1998,5.7,2,0,0,9,6,0,4,2,9,,,0,Matches,3cc4bb19
94,Simone Canestrelli,it ITA,DF,Pisa,24,2000,35.6,4,0,0,42,22,1,12,33,25,,,0,Matches,d8c54a50
95,Elia Caprile,it ITA,GK,Cagliari,23,2001,38.0,2,0,0,0,8,0,0,0,0,,,0,Matches,97d7afbd
96,Maxence Caqueret,fr FRA,MF,Como,25,2000,16.5,3,0,0,26,23,2,36,14,23,,,0,Matches,f81ef10d
97,Antonio Caracciolo,it ITA,DF,Pisa,35,1990,34.1,10,0,0,41,11,2,3,57,44,,,1,Matches,99d8fc35
98,Filippo Carbone,it ITA,MF,Genoa,18,2006,0.1,0,0,0,0,1,0,0,0,3,,,0,Matches,252ac080
99,Franco Carboni,it ITA,MF,Parma,22,2003,1.3,0,0,0,3,0,0,3,2,1,,,0,Matches,b033f803
100,Valentin Carboni,ar ARG,MF,Genoa,20,2005,4.0,2,0,0,11,5,0,7,2,8,,,0,Matches,707b98f1
101,Alessandro Cardinali,it ITA,FW,Parma,19,2006,0.5,0,0,0,0,0,0,1,0,0,,,0,Matches,639f3541
102,Diego Carlos,br BRA,DF,Como,32,1993,21.7,8,0,0,39,7,2,2,22,18,,,0,Matches,b4a014b1
103,Marco Carnesecchi,it ITA,GK,Atalanta,25,2000,37.0,0,0,0,1,6,0,1,0,0,,,0,Matches,8ec56e62
104,Cesare Casadei,it ITA,MF,Torino,22,2003,22.2,5,0,0,52,16,2,4,9,16,,,0,Matches,fb920f3a
105,Nicolò Casale,it ITA,DF,Bologna,27,1998,7.5,0,0,0,15,5,0,2,7,2,,,0,Matches,3f5f38fb
106,Valentín Castellanos,ar ARG,FW,Lazio,26,1998,7.7,2,0,0,9,18,5,6,3,3,,,0,Matches,da76bab4
107,Santiago Castro,ar ARG,FW,Bologna,20,2004,26.2,3,0,0,35,50,12,4,1,8,,,0,Matches,ee5565ae
108,Danilo Cataldi,it ITA,MF,Lazio,30,1994,22.1,6,0,0,22,12,0,48,21,22,,,0,Matches,ba3d3bea
109,Nicolò Cavuoti,it ITA,MF,Cagliari,22,2003,0.5,0,0,0,1,1,0,0,0,0,,,0,Matches,747701ab
110,Federico Ceccherini,it ITA,DF,Cremonese,33,1992,5.3,1,1,0,10,9,0,3,7,2,,,0,Matches,d9624b51
111,Zeki Çelik,tr TUR,MFDF,Roma,28,1997,30.3,2,1,0,35,18,3,75,24,40,,,0,Matches,31a62dc7
112,Fallou Cham,gm GAM,MF,Hellas Verona,19,2006,2.5,0,0,0,7,5,1,10,4,9,,,0,Matches,aa83c24f
113,Walid Cheddira,ma MAR,FW,Sassuolo,27,1998,2.5,1,0,0,7,9,1,4,0,0,,,0,Matches,0545a08e
114,Walid Cheddira,ma MAR,FW,Lecce,27,1998,11.1,2,0,0,20,25,10,4,1,3,,,0,Matches,0545a08e
115,Oliver Christensen,dk DEN,GK,Fiorentina,26,1999,1.0,0,0,0,0,1,0,0,0,0,,,0,Matches,af104654
116,Samuel Chukwueze,ng NGA,FWMF,Milan,26,1999,0.3,0,0,0,0,3,0,3,0,0,,,0,Matches,b8a642fc
117,Alessandro Circati,au AUS,DF,Parma,21,2003,29.6,6,0,0,30,18,0,5,27,25,,,0,Matches,1223765c
118,Matteo Cocchi,it ITA,DF,Inter,18,2007,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches,2081c175
119,Saúl Coco,gq EQG,DF,Torino,26,1999,34.3,3,0,0,46,34,0,5,41,34,,,0,Matches,d0ee1652
120,Michele Collocolo,it ITA,MF,Cremonese,25,1999,4.0,1,0,0,2,2,0,5,1,3,,,0,Matches,b7946402
121,Lorenzo Colombo,it ITA,FW,Genoa,23,2002,25.8,2,0,0,41,55,3,16,1,12,,,0,Matches,04df29a5
122,Pietro Comuzzo,it ITA,DF,Fiorentina,20,2005,18.8,2,0,0,24,4,0,1,24,16,,,1,Matches,5e3ecc35
123,Francisco Conceição,pt POR,MFFW,Juventus,22,2002,23.1,3,0,0,32,40,3,92,7,26,,,0,Matches,5ef3d210
124,Nikita Contini,it ITA,GK,Napoli,29,1996,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,e95069bb
125,Francesco Coppola,it ITA,DF,Pisa,20,2005,5.1,3,0,0,7,8,0,2,5,5,,,0,Matches,387335e7
126,Maxwel Cornet,ci CIV,MF,Genoa,28,1996,1.3,0,0,0,6,1,1,13,0,4,,,0,Matches,beb391dd
127,Edoardo Corvi,it ITA,GK,Parma,24,2001,17.0,1,0,0,0,5,0,0,0,0,,,0,Matches,a89398db
128,Lassana Coulibaly,ml MLI,MF,Lecce,29,1996,29.9,4,0,0,34,52,1,18,9,28,,,0,Matches,85a44ecc
129,Woyo Coulibaly,ml MLI,DF,Sassuolo,26,1999,11.7,2,0,0,15,12,0,10,10,14,,,0,Matches,beb6e3a6
130,Ben Cremaschi,us USA,MF,Parma,20,2005,1.5,0,0,0,2,0,0,6,0,1,,,0,Matches,03a446a2
131,Bryan Cristante,it ITA,MF,Roma,30,1995,34.4,6,0,0,63,9,0,19,28,43,,,0,Matches,16657b95
132,Juan Cuadrado,co COL,MF,Pisa,37,1988,5.6,3,0,0,9,16,0,45,5,10,,,0,Matches,0ab1f153
133,Patrick Cutrone,it ITA,FW,Parma,27,1998,9.9,0,0,0,7,16,8,12,3,1,,,0,Matches,a4fe8cda
134,Lucas Da Cunha,fr FRA,MF,Como,24,2001,30.4,4,0,0,34,19,1,99,18,33,,,0,Matches,007faf7a
135,Thijs Dallinga,nl NED,FW,Bologna,24,2000,9.0,2,0,0,20,9,4,5,1,4,,,0,Matches,b70afb45
136,Matteo Darmian,it ITA,MFDF,Inter,35,1989,2.8,0,0,0,4,2,1,5,1,3,,,0,Matches,96e0490d
137,Juan David Cabal,co COL,MF,Juventus,24,2001,3.3,1,0,0,4,1,2,4,4,5,,,0,Matches,ef6eef89
138,Jonathan David,ca CAN,FW,Juventus,25,2000,19.8,0,0,0,30,26,11,8,6,10,,,0,Matches,ce50fd99
139,Keinan Davis,eng ENG,FW,Udinese,27,1998,22.9,5,0,0,41,47,10,5,1,5,,,0,Matches,9deaf2c8
140,Kevin De Bruyne,be BEL,MF,Napoli,34,1991,12.9,1,0,0,8,6,4,58,5,8,,,0,Matches,e46012d4
141,Charles De Ketelaere,be BEL,MFFW,Atalanta,24,2001,24.2,4,0,0,23,36,3,46,5,15,,,0,Matches,2ef7c612
142,Manuel De Luca,it ITA,FW,Cremonese,27,1998,0.2,0,0,0,1,1,0,0,0,0,,,0,Matches,60e3603d
143,Lorenzo De Silvestri,it ITA,DF,Bologna,37,1988,5.5,2,0,0,9,3,0,7,7,1,,,0,Matches,e74f0e59
144,Koni De Winter,be BEL,DF,Milan,23,2002,20.0,1,0,0,27,8,1,5,13,19,,,0,Matches,f4797849
145,Alessandro Deiola,it ITA,MFDF,Cagliari,29,1995,15.9,3,0,0,22,11,7,2,13,20,,,0,Matches,7f267d66
146,Fisayo Dele-Bashiru,ng NGA,MF,Lazio,24,2001,13.2,0,0,0,8,3,2,10,4,15,,,0,Matches,121a4fb8
147,Enrico Delprato,it ITA,DFMF,Parma,25,1999,32.8,5,0,0,16,10,6,19,24,21,,,0,Matches,4c6f9258
148,Ali Dembélé,fr FRA,DF,Torino,21,2004,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches,eb3df7d9
149,Daniel Denoon,ch SUI,DF,Pisa,21,2004,1.4,1,0,0,4,3,0,0,1,2,,,0,Matches,030d6f99
150,Raffaele Di Gennaro,it ITA,GK,Inter,31,1993,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,7a4050d5
151,Michele Di Gregorio,it ITA,GK,Juventus,28,1997,29.5,1,0,0,0,5,0,0,0,0,,,0,Matches,4e0c8d66
152,Giovanni Di Lorenzo,it ITA,DFMF,Napoli,31,1993,25.3,1,0,0,33,23,1,38,9,26,,,0,Matches,230a2fac
153,Alessandro Di Pardo,it ITA,DFMF,Cagliari,26,1999,0.6,0,0,0,0,1,0,0,0,1,,,0,Matches,e0ce7038
154,Boulaye Dia,sn SEN,FWMF,Lazio,28,1996,13.9,1,0,0,19,14,4,0,3,7,,,0,Matches,244bc2c8
155,Assane Diao,sn SEN,MF,Como,19,2005,11.9,2,0,0,15,39,3,27,4,5,,,0,Matches,8ae7d0ec
156,Federico Dimarco,it ITA,MF,Inter,27,1997,30.0,3,0,0,41,23,5,295,30,31,,,0,Matches,970b8574
157,Andy Diouf,fr FRA,MF,Inter,22,2003,5.5,1,0,0,5,3,1,6,1,6,,,0,Matches,9b5237b1
158,Berat Djimsiti,al ALB,DF,Atalanta,32,1993,28.1,4,0,0,17,8,0,2,42,30,,,0,Matches,6eee05f1
159,Dodô,br BRA,DFMF,Fiorentina,26,1998,34.8,7,0,0,22,53,2,153,31,18,,,0,Matches,b5f7d10b
160,Josh Doig,sct SCO,DF,Sassuolo,23,2002,21.3,5,0,0,16,19,0,39,22,20,,,0,Matches,2f69d881
161,Benjamín Domínguez,ar ARG,MF,Bologna,21,2003,6.1,1,0,0,6,18,3,7,2,2,,,0,Matches,a83b47fa
162,Alberto Dossena,it ITA,DF,Cagliari,26,1998,9.5,5,0,0,11,8,2,0,9,13,,,0,Matches,61efb926
163,Mamedi Doucouré,fr FRA,DF,Genoa,18,2007,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,7613c133
164,Anastasios Douvikas,gr GRE,FW,Como,25,1999,25.3,0,0,0,36,42,7,4,4,10,,,0,Matches,853ca71c
165,Artem Dovbyk,ua UKR,FW,Roma,28,1997,4.4,0,0,0,11,6,4,1,0,3,,,0,Matches,5b847bb0
166,Denzel Dumfries,nl NED,MF,Inter,29,1996,14.7,2,0,0,20,13,2,34,7,9,,,0,Matches,481c9ece
167,Rafiu Durosinmi,ng NGA,FW,Pisa,22,2003,4.8,1,1,0,15,2,3,0,1,0,,,0,Matches,e7173214
168,Paulo Dybala,ar ARG,MFFW,Roma,31,1993,15.0,0,0,0,11,40,3,98,5,6,,,0,Matches,e0921a4f
169,Edin Džeko,ba BIH,FW,Fiorentina,39,1986,2.7,1,0,0,2,5,0,1,1,1,,,0,Matches,3bb7f478
170,Enzo Ebosse,cm CMR,DF,Hellas Verona,26,1999,2.4,1,0,0,5,1,0,0,0,1,,,0,Matches,9ba7b4fa
171,Enzo Ebosse,cm CMR,DF,Torino,26,1999,12.4,3,0,0,16,9,0,7,10,6,,,0,Matches,9ba7b4fa
172,Andrias Edmundsson,fo FRO,DF,Hellas Verona,24,2000,14.7,3,0,0,13,7,0,4,28,20,,,1,Matches,7131f38f
173,Kingsley Ehizibue,nl NED,MFDF,Udinese,30,1995,20.1,5,0,0,34,24,2,32,13,31,,,0,Matches,76b2817e
174,Jeff Ekhator,it ITA,FWMF,Genoa,18,2006,10.6,3,0,0,20,19,10,9,2,8,,,0,Matches,faf739d2
175,Jurgen Ekkelenkamp,nl NED,MF,Udinese,25,2000,24.3,1,0,0,22,19,3,32,18,27,,,0,Matches,73d6a176
176,Caleb Ekuban,gh GHA,FWMF,Genoa,31,1994,11.0,0,0,0,16,29,6,5,5,1,,,0,Matches,7afbd2c3
177,Mikael Ellertsson,is ISL,MF,Genoa,23,2002,30.7,1,1,0,28,42,1,32,14,26,,,0,Matches,c55967eb
178,Elif Elmas,mk MKD,MFFW,Napoli,25,1999,19.8,3,0,0,18,13,2,41,7,13,,,0,Matches,cf007308
179,Nesta Elphege,fr FRA,FW,Parma,24,2001,3.4,0,0,0,3,0,3,0,0,0,,,0,Matches,a3f86b82
180,Francesco Esposito,it ITA,FW,Inter,20,2005,17.5,1,0,0,29,50,2,4,5,5,,,0,Matches,041e5f1f
181,Sebastiano Esposito,it ITA,FWMF,Cagliari,23,2002,29.7,6,0,0,46,56,5,139,21,35,,,0,Matches,7ff93107
182,Tomás Esteves,pt POR,DFMF,Pisa,23,2002,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches,20ffe5b9
183,Nahuel Estévez,ar ARG,MF,Parma,29,1995,11.7,2,0,0,11,13,0,43,5,10,,,0,Matches,cec60a2f
184,Pervis Estupiñán,ec ECU,MF,Milan,27,1998,11.5,5,1,0,17,8,5,20,11,9,,,0,Matches,d38fdf53
185,Giovanni Fabbian,it ITA,MF,Bologna,22,2003,7.8,0,0,0,13,18,2,2,5,4,,,0,Matches,f97f9188
186,Giovanni Fabbian,it ITA,MF,Fiorentina,22,2003,5.2,2,0,0,6,9,0,4,1,2,,,0,Matches,f97f9188
187,Alieu Fadera,gm GAM,FW,Sassuolo,23,2001,11.0,5,0,0,36,36,8,24,5,23,,,0,Matches,53210e42
188,Nicolò Fagioli,it ITA,MF,Fiorentina,24,2001,28.4,5,0,0,23,45,0,84,18,31,,,0,Matches,366be751
189,Wladimiro Falcone,it ITA,GK,Lecce,30,1995,38.0,2,0,0,0,8,0,0,0,2,,,0,Matches,9f5a610b
190,Jacopo Fazzini,it ITA,MFFW,Fiorentina,22,2003,6.5,2,0,0,12,15,0,16,5,10,,,0,Matches,06b08c45
191,Mattia Felici,it ITA,MF,Cagliari,24,2001,4.6,3,0,0,10,6,0,23,5,6,,,0,Matches,38aa2612
192,Pedro Felipe,br BRA,DF,Sassuolo,21,2004,1.4,0,0,0,2,1,0,0,2,1,,,0,Matches,e95e9749
193,Evan Ferguson,ie IRL,FW,Roma,20,2004,8.6,1,0,0,11,9,3,2,1,4,,,0,Matches,4596da74
194,Lewis Ferguson,sct SCO,MF,Bologna,25,1999,17.8,7,1,1,34,26,3,25,12,16,,,0,Matches,ee64a822
195,Seydou Fini,it ITA,FW,Genoa,19,2006,0.4,0,0,0,1,0,2,1,0,0,,,0,Matches,6411925d
196,Romano Floriani,it ITA,MF,Cremonese,22,2003,13.0,2,0,0,21,5,2,29,6,14,,,0,Matches,e19e0ca1
197,Sadik Fofana,tg TOG,MF,Lecce,22,2003,0.9,0,0,0,3,1,0,0,0,2,,,0,Matches,9ed58e6b
198,Youssouf Fofana,fr FRA,MF,Milan,26,1999,24.5,4,0,0,21,16,0,10,19,19,,,0,Matches,822d51d7
199,Francesco Folino,it ITA,DF,Cremonese,23,2002,8.0,1,0,0,11,9,0,1,2,4,,,0,Matches,051104b5
200,Michael Folorunsho,it ITA,MFFW,Cagliari,27,1998,22.2,3,0,0,35,49,13,22,10,10,,,0,Matches,c391a179
201,Niccolò Fortini,it ITA,MF,Fiorentina,19,2006,6.0,0,0,0,5,18,0,29,4,9,,,0,Matches,ed336580
202,Christian Frangella,it ITA,MF,Sassuolo,18,2006,0.0,0,0,0,0,0,1,1,1,0,,,0,Matches,ed1e1ae6
203,Davide Frattesi,it ITA,MF,Inter,25,1999,6.3,0,0,0,9,11,2,2,3,7,,,0,Matches,2a7d27c1
204,Morten Frendrup,dk DEN,MF,Genoa,24,2001,34.2,5,0,0,41,39,0,5,41,71,,,0,Matches,f4d60499
205,Martin Frese,dk DEN,MFDF,Hellas Verona,27,1998,26.8,8,0,0,46,20,4,74,30,54,,,1,Matches,b910e9c0
