--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
13,Marco Andreolli,it ITA,DF,Cagliari,32,1986,3,1,106,1.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,13d820de
14,Marco Andreolli,it ITA,DF,Chievo,32,1986,8,7,646,7.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,13d820de
15,Cristian Ansaldi,ar ARG,MF,Torino,31,1986,24,23,1807,20.1,3,2,5,3,0,0,3,0,0.15,0.10,0.25,0.15,0.25,Matches,bbafc0c4
16,Mirco Antenucci,it ITA,FW,SPAL,33,1984,35,22,2133,23.7,5,0,5,4,1,2,0,0,0.21,0.00,0.21,0.17,0.17,Matches,43a2e16c
17,Luca Antonelli,it ITA,DFMF,Empoli,31,1987,13,10,755,8.4,0,1,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,Matches,40f0ed6c
18,Mauro Antonio Burruchaga,ar ARG,MF,Chievo,20,1998,1,0,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0830a4f9
19,Joaquín Ardaiz,uy URU,FW,Frosinone,19,1999,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eb823875
20,Lorenzo Ariaudo,it ITA,DF,Frosinone,29,1989,19,19,1682,18.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,68b78c2a
21,Nicolò Armini,it ITA,DF,Lazio,17,2001,1,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2f7407fa
22,Kwadwo Asamoah,gh GHA,DFMF,Inter,29,1988,32,30,2671,29.7,0,1,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,Matches,089550f5
23,Emil Audero,id IDN,GK,Sampdoria,21,1997,36,36,3240,36.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,649b01d8
24,Khouma Babacar,sn SEN,FW,Sassuolo,25,1993,29,16,1488,16.5,7,2,9,5,2,2,0,0,0.42,0.12,0.54,0.30,0.42,Matches,422ec08a
25,Milan Badelj,hr CRO,MF,Lazio,29,1989,23,14,1141,12.7,1,0,1,1,0,0,6,0,0.08,0.00,0.08,0.08,0.08,Matches,e8c930bb
26,Tiemoué Bakayoko,fr FRA,MF,Milan,23,1994,31,26,2301,25.6,1,1,2,1,0,0,6,1,0.04,0.04,0.08,0.04,0.08,Matches,59bf127b
27,Keita Baldé,sn SEN,FWMF,Inter,23,1995,24,8,889,9.9,5,2,7,5,0,0,2,1,0.51,0.20,0.71,0.51,0.71,Matches,509a4ccb
28,Andrija Balić,hr CRO,MF,Udinese,20,1997,4,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9be4ee80
29,Mattia Bani,it ITA,DF,Chievo,24,1993,30,29,2610,29.0,0,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,Matches,0821331c
30,Antonín Barák,cz CZE,MF,Udinese,23,1994,8,4,329,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,01efac19
31,Federico Barba,it ITA,DF,Chievo,24,1993,30,29,2483,27.6,0,0,0,0,0,0,6,2,0.00,0.00,0.00,0.00,0.00,Matches,c010b898
32,Francesco Bardi,it ITA,GK,Frosinone,26,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0acda699
33,Nicolò Barella,it ITA,MF,Cagliari,21,1997,35,35,3107,34.5,1,3,4,1,0,1,10,2,0.03,0.09,0.12,0.03,0.12,Matches,6928979a
34,Antonino Barillà,it ITA,MF,Parma,30,1988,31,30,2618,29.1,3,2,5,3,0,0,10,0,0.10,0.07,0.17,0.10,0.17,Matches,a64cbd35
35,Édgar Barreto,py PAR,MF,Sampdoria,34,1984,12,9,785,8.7,0,2,2,0,0,0,2,0,0.00,0.23,0.23,0.00,0.23,Matches,43a1bea5
36,Musa Barrow,gm GAM,FW,Atalanta,19,1998,22,6,601,6.7,1,2,3,1,0,0,0,0,0.15,0.30,0.45,0.15,0.45,Matches,e5bf73f3
37,Andrea Barzagli,it ITA,DF,Juventus,37,1981,7,4,260,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7c0000fd
38,Daniele Baselli,it ITA,MF,Torino,26,1992,34,27,2379,26.4,4,1,5,4,0,0,5,0,0.15,0.04,0.19,0.15,0.19,Matches,ea06dd97
39,Alessandro Bastoni,it ITA,DF,Parma,19,1999,24,18,1690,18.8,1,0,1,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,Matches,75b86fb3
40,Bastos,ao ANG,DF,Lazio,27,1991,18,11,1139,12.7,1,0,1,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,Matches,c01c66d9
41,Andrea Beghetto,it ITA,MF,Frosinone,23,1994,27,25,2226,24.7,0,3,3,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,Matches,438dfc6a
42,Valon Behrami,ch SUI,MF,Udinese,33,1985,19,17,1361,15.1,1,0,1,1,0,0,6,0,0.07,0.00,0.07,0.07,0.07,Matches,d3d758d8
43,Nicky Beloko,ch SUI,MF,Fiorentina,18,2000,1,0,45,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,714ffae7
44,Andrea Belotti,it ITA,FW,Torino,24,1993,37,37,3299,36.7,15,3,18,10,5,6,5,0,0.41,0.08,0.49,0.27,0.35,Matches,d705ba44
45,Marco Benassi,it ITA,MF,Fiorentina,23,1994,32,29,2282,25.4,7,1,8,7,0,0,6,1,0.28,0.04,0.32,0.28,0.32,Matches,0000acda
46,Medhi Benatia,ma MAR,DF,Juventus,31,1987,5,5,450,5.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,3b15ef2d
47,Ismaël Bennacer,dz ALG,MF,Empoli,20,1997,37,32,2961,32.9,0,5,5,0,0,0,7,0,0.00,0.15,0.15,0.00,0.15,Matches,db092d3b
48,Rodrigo Bentancur,uy URU,MF,Juventus,21,1997,31,21,2003,22.3,2,3,5,2,0,0,8,1,0.09,0.13,0.22,0.09,0.22,Matches,3b8674e6
49,Domenico Berardi,it ITA,FWMF,Sassuolo,23,1994,35,32,2875,31.9,8,4,12,7,1,1,5,1,0.25,0.13,0.38,0.22,0.34,Matches,53a0e358
50,Álex Berenguer,es ESP,MFFW,Torino,23,1995,31,15,1486,16.5,2,3,5,2,0,0,4,0,0.12,0.18,0.30,0.12,0.30,Matches,dc1c2fce
51,Bartosz Bereszyński,pl POL,DF,Sampdoria,26,1992,27,24,2200,24.4,0,2,2,0,0,0,6,1,0.00,0.08,0.08,0.00,0.08,Matches,61b3978f
52,Etrit Berisha,al ALB,GK,Atalanta,29,1989,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ee833569
53,Valon Berisha,xk KVX,MF,Lazio,25,1993,8,1,198,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d5575935
54,Federico Bernardeschi,it ITA,MFFW,Juventus,24,1994,28,14,1473,16.4,2,3,5,2,0,0,5,1,0.12,0.18,0.31,0.12,0.31,Matches,ee93c1a9
55,Daniel Bessa,it ITA,MF,Genoa,25,1993,34,25,2441,27.1,1,3,4,1,0,0,8,0,0.04,0.11,0.15,0.04,0.15,Matches,88895312
56,Jonathan Biabiany,fr FRA,FW,Parma,30,1988,18,12,1069,11.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,6b99d135
57,Lucas Biglia,ar ARG,MF,Milan,32,1986,16,13,1114,12.4,1,0,1,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,Matches,5710a281
58,Cristiano Biraghi,it ITA,DFMF,Fiorentina,25,1992,36,36,3194,35.5,1,4,5,1,0,0,8,0,0.03,0.11,0.14,0.03,0.14,Matches,9e1577aa
59,Davide Biraschi,it ITA,DF,Genoa,24,1994,34,32,2841,31.6,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,64cd167d
60,Valter Birsa,si SVN,MFFW,Cagliari,31,1986,12,4,353,3.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,455a2b79
61,Valter Birsa,si SVN,FWMF,Chievo,31,1986,17,12,1101,12.2,2,2,4,1,1,1,1,0,0.16,0.16,0.33,0.08,0.25,Matches,455a2b79
62,Kevin-Prince Boateng,gh GHA,FW,Sassuolo,31,1987,13,11,938,10.4,4,1,5,2,2,2,1,0,0.38,0.10,0.48,0.19,0.29,Matches,f4ec4fd0
63,Jeremie Boga,ci CIV,FWMF,Sassuolo,21,1997,25,14,1443,16.0,3,1,4,3,0,0,0,0,0.19,0.06,0.25,0.19,0.25,Matches,fe012aca
64,Giacomo Bonaventura,it ITA,MF,Milan,28,1989,8,8,646,7.2,3,1,4,3,0,0,0,0,0.42,0.14,0.56,0.42,0.56,Matches,d995ed27
65,Kevin Bonifazi,it ITA,DF,SPAL,22,1996,27,26,2301,25.6,2,1,3,2,0,0,2,0,0.08,0.04,0.12,0.08,0.12,Matches,fb77bfef
66,Leonardo Bonucci,it ITA,DF,Juventus,31,1987,29,27,2472,27.5,3,0,3,3,0,0,2,0,0.11,0.00,0.11,0.11,0.11,Matches,52ec54d0
67,Fabio Borini,it ITA,FWMF,Milan,27,1991,20,10,1054,11.7,2,2,4,2,0,0,3,0,0.17,0.17,0.34,0.17,0.34,Matches,ef5b337e
68,Mehdi Bourabia,ma MAR,MF,Sassuolo,26,1991,32,21,2010,22.3,1,0,1,1,0,0,8,1,0.04,0.00,0.04,0.04,0.04,Matches,0d077b88
69,Filip Bradarić,hr CRO,MF,Cagliari,26,1992,27,17,1494,16.6,0,2,2,0,0,0,5,0,0.00,0.12,0.12,0.00,0.12,Matches,605873e1
70,Gleison Bremer,br BRA,DF,Torino,21,1997,5,2,183,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5fd5ed86
71,Nicolò Brighenti,it ITA,DF,Frosinone,28,1989,11,11,990,11.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,54c356b0
72,Matteo Brighi,it ITA,MF,Empoli,37,1981,10,1,231,2.6,1,0,1,1,0,0,1,0,0.39,0.00,0.39,0.39,0.39,Matches,d417b306
73,Enrico Brignola,it ITA,MFFW,Sassuolo,19,1999,7,2,175,1.9,1,0,1,1,0,0,2,0,0.51,0.00,0.51,0.51,0.51,Matches,d0643f8f
74,Marcelo Brozović,hr CRO,MF,Inter,25,1992,32,31,2650,29.4,2,1,3,2,0,0,11,1,0.07,0.03,0.10,0.07,0.10,Matches,33b8d077
75,Rafael Cabral,br BRA,GK,Sampdoria,28,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,806f7a26
76,Fabrizio Cacciatore,it ITA,DF,Cagliari,31,1986,7,7,580,6.4,0,2,2,0,0,0,2,0,0.00,0.31,0.31,0.00,0.31,Matches,00b0bb87
77,Fabrizio Cacciatore,it ITA,DF,Chievo,31,1986,7,5,497,5.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,00b0bb87
78,Martín Cáceres,uy URU,DF,Juventus,31,1987,9,7,628,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e94d79e3
79,Martín Cáceres,uy URU,DFMF,Lazio,31,1987,4,3,307,3.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e94d79e3
80,Felipe Caicedo,ec ECU,FW,Lazio,29,1988,28,17,1371,15.2,8,2,10,7,1,1,4,0,0.53,0.13,0.66,0.46,0.59,Matches,93b891d1
81,Arturo Calabresi,it ITA,DF,Bologna,22,1996,18,16,1412,15.7,1,0,1,1,0,0,8,0,0.06,0.00,0.06,0.06,0.06,Matches,34bb6fbd
82,Davide Calabria,it ITA,DF,Milan,21,1996,26,22,1950,21.7,1,2,3,1,0,0,5,0,0.05,0.09,0.14,0.05,0.14,Matches,2146785a
83,Hakan Çalhanoğlu,tr TUR,MFFW,Milan,24,1994,36,34,2884,32.0,3,6,9,3,0,0,3,0,0.09,0.19,0.28,0.09,0.28,Matches,cd0fa27b
84,José Callejón,es ESP,MFFW,Napoli,31,1987,34,29,2650,29.4,3,10,13,3,0,0,1,0,0.10,0.34,0.44,0.10,0.44,Matches,78841da9
85,Joel Campbell,cr CRC,FWMF,Frosinone,26,1992,17,11,891,9.9,0,3,3,0,0,0,4,0,0.00,0.30,0.30,0.00,0.30,Matches,895ff3ca
86,Emre Can,de GER,MF,Juventus,24,1994,29,20,1811,20.1,4,1,5,3,1,1,7,0,0.20,0.05,0.25,0.15,0.20,Matches,a65ce836
87,João Cancelo,pt POR,DFMF,Juventus,24,1994,25,22,1968,21.9,1,3,4,1,0,0,6,0,0.05,0.14,0.18,0.05,0.18,Matches,bd6351cd
88,Antonio Candreva,it ITA,MF,Inter,31,1987,18,5,502,5.6,1,0,1,1,0,0,0,0,0.18,0.00,0.18,0.18,0.18,Matches,356c9002
89,Luan Capanni,br BRA,MF,Lazio,18,2000,1,0,9,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,28237d7e
90,Leonardo Capezzi,it ITA,MF,Empoli,23,1995,12,9,772,8.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,07ea0ef2
91,Gianluca Caprari,it ITA,FWMF,Sampdoria,25,1993,21,12,1031,11.5,6,2,8,6,0,0,1,0,0.52,0.17,0.70,0.52,0.70,Matches,54e53b7e
92,Marco Capuano,it ITA,DF,Frosinone,26,1991,27,27,2307,25.6,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,616aea37
93,Francesco Caputo,it ITA,FW,Empoli,30,1987,38,38,3420,38.0,16,3,19,13,3,6,3,0,0.42,0.08,0.50,0.34,0.42,Matches,5bd72174
94,Francesco Cassata,it ITA,MF,Frosinone,21,1997,19,14,1124,12.5,2,2,4,2,0,0,9,1,0.16,0.16,0.32,0.16,0.32,Matches,96960855
95,Timothy Castagne,be BEL,MF,Atalanta,22,1995,28,21,2006,22.3,4,3,7,4,0,0,3,0,0.18,0.13,0.31,0.18,0.31,Matches,197640fd
96,Samu Castillejo,es ESP,FW,Milan,23,1995,31,8,1023,11.4,4,2,6,4,0,0,3,0,0.35,0.18,0.53,0.35,0.53,Matches,130a7a3f
97,Lucas Castro,ar ARG,MF,Cagliari,29,1989,12,10,896,10.0,1,3,4,1,0,0,1,0,0.10,0.30,0.40,0.10,0.40,Matches,56b2957b
98,Danilo Cataldi,it ITA,MFFW,Lazio,23,1994,12,4,578,6.4,2,1,3,2,0,0,2,0,0.31,0.16,0.47,0.31,0.47,Matches,ba3d3bea
99,Federico Ceccherini,it ITA,DF,Fiorentina,26,1992,15,11,994,11.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,d9624b51
100,Žan Celar,si SVN,FW,Roma,19,1999,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,868c6958
101,Luca Ceppitelli,it ITA,DF,Cagliari,28,1989,24,24,2051,22.8,2,1,3,2,0,0,6,2,0.09,0.04,0.13,0.09,0.13,Matches,7d50454d
102,Fabio Ceravolo,it ITA,FW,Parma,31,1987,25,12,1185,13.2,2,0,2,1,1,2,1,0,0.15,0.00,0.15,0.08,0.08,Matches,4cc93246
103,Alberto Cerri,it ITA,FW,Cagliari,22,1996,15,7,670,7.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,1079c685
104,Boštjan Cesar,si SVN,DF,Chievo,36,1982,14,11,1079,12.0,1,0,1,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,Matches,c1d18f10
105,Raman Chibsah,gh GHA,MF,Frosinone,25,1993,32,30,2622,29.1,1,0,1,1,0,0,5,0,0.03,0.00,0.03,0.03,0.03,Matches,aa5a409a
106,Giorgio Chiellini,it ITA,DF,Juventus,33,1984,25,22,1991,22.1,1,1,2,1,0,0,3,0,0.05,0.05,0.09,0.05,0.09,Matches,e85fb9b8
107,Federico Chiesa,it ITA,FWMF,Fiorentina,20,1997,37,34,3034,33.7,6,3,9,6,0,0,4,0,0.18,0.09,0.27,0.18,0.27,Matches,b0f7e36c
108,Vlad Chiricheș,ro ROU,DF,Napoli,28,1989,3,3,147,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c316607a
109,Camillo Ciano,it ITA,FWMF,Frosinone,28,1990,33,28,2454,27.3,7,4,11,5,2,3,12,0,0.26,0.15,0.40,0.18,0.33,Matches,2114abf9
110,Amato Ciciretti,it ITA,FW,Parma,24,1993,6,1,139,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1ab0b878
111,Luca Cigarini,it ITA,MF,Cagliari,32,1986,25,20,1682,18.7,0,2,2,0,0,0,9,0,0.00,0.11,0.11,0.00,0.11,Matches,ae64d449
112,Daniel Ciofani,it ITA,FW,Frosinone,33,1985,31,17,1618,18.0,5,2,7,3,2,2,1,0,0.28,0.11,0.39,0.17,0.28,Matches,b09a3ecc
113,Thiago Cionek,pl POL,DF,SPAL,32,1986,31,29,2542,28.2,0,3,3,0,0,0,12,2,0.00,0.11,0.11,0.00,0.11,Matches,46f5c54d
114,Omar Colley,gm GAM,DF,Sampdoria,25,1992,21,21,1762,19.6,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,8b95acda
115,Andrea Consigli,it ITA,GK,Sassuolo,31,1987,36,36,3213,35.7,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,8cabdc1e
116,Andrea Conti,it ITA,DF,Milan,24,1994,12,4,500,5.6,0,2,2,0,0,0,3,0,0.00,0.36,0.36,0.00,0.36,Matches,8fef5412
117,Gabriele Corbo,it ITA,DF,Bologna,18,2000,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,091795f2
118,Ante Ćorić,hr CRO,MF,Roma,21,1997,2,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2d3f7367
119,Joaquín Correa,ar ARG,FW,Lazio,23,1994,34,18,1927,21.4,5,6,11,5,0,0,5,0,0.23,0.28,0.51,0.23,0.51,Matches,45b9b619
120,Douglas Costa,br BRA,MFFW,Juventus,27,1990,17,7,621,6.9,1,0,1,1,0,0,2,1,0.14,0.00,0.14,0.14,0.14,Matches,4fa7cb9b
121,Filippo Costa,it ITA,MF,SPAL,23,1995,9,6,564,6.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,00528660
122,Alessio Cragno,it ITA,GK,Cagliari,24,1994,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f554e29b
123,Domenico Criscito,it ITA,DFMF,Genoa,31,1986,35,35,3070,34.1,2,4,6,1,1,1,12,1,0.06,0.12,0.18,0.03,0.15,Matches,35dd6d80
124,Lorenzo Crisetig,it ITA,MF,Frosinone,25,1993,8,5,507,5.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,f54dfca8
125,Bryan Cristante,it ITA,MF,Roma,23,1995,35,26,2425,26.9,4,3,7,4,0,0,10,0,0.15,0.11,0.26,0.15,0.26,Matches,16657b95
126,Alessio da Cruz,cv CPV,FW,Parma,21,1997,3,1,144,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b6667741
127,Juan Cuadrado,co COL,MFDF,Juventus,30,1988,18,14,1220,13.6,1,2,3,1,0,0,4,0,0.07,0.15,0.22,0.07,0.22,Matches,0ab1f153
128,Patrick Cutrone,it ITA,FW,Milan,20,1998,34,12,1457,16.2,3,2,5,3,0,0,2,0,0.19,0.12,0.31,0.19,0.31,Matches,a4fe8cda
129,Marco D'Alessandro,it ITA,MF,Udinese,27,1991,24,16,1495,16.6,0,2,2,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,Matches,060606ec
130,Danilo D'Ambrosio,it ITA,DF,Inter,29,1988,30,29,2579,28.7,2,5,7,2,0,0,6,0,0.07,0.17,0.24,0.07,0.24,Matches,44eb9093
131,Bryan Dabo,bf BFA,MF,Fiorentina,26,1992,23,6,831,9.2,1,1,2,1,0,0,4,0,0.11,0.11,0.22,0.11,0.22,Matches,c53083ad
132,Felipe dal Belo,br BRA,DF,SPAL,34,1984,30,27,2361,26.2,3,2,5,3,0,0,13,0,0.11,0.08,0.19,0.11,0.19,Matches,8cea6319
133,Nicola Dalmonte,it ITA,FWMF,Genoa,20,1997,3,0,44,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,59a3efba
134,Vitalie Damașcan,md MDA,FWMF,Torino,19,1999,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,54e0c0cc
135,Sebastien De Maio,fr FRA,DF,Udinese,31,1987,16,13,1173,13.0,1,0,1,1,0,0,1,1,0.08,0.00,0.08,0.08,0.08,Matches,952a03fe
136,Sebastien De Maio,fr FRA,DF,Bologna,31,1987,6,6,491,5.5,0,1,1,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,Matches,952a03fe
137,Rodrigo De Paul,ar ARG,MFFW,Udinese,24,1994,36,36,3189,35.4,9,9,18,6,3,6,7,0,0.25,0.25,0.51,0.17,0.42,Matches,162efffd
138,Daniele De Rossi,it ITA,MF,Roma,35,1983,18,15,1270,14.1,1,1,2,1,0,0,3,0,0.07,0.07,0.14,0.07,0.14,Matches,532d2690
139,Mattia De Sciglio,it ITA,DFMF,Juventus,25,1992,22,19,1743,19.4,0,1,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,Matches,ae4e2852
140,Lorenzo De Silvestri,it ITA,MF,Torino,30,1988,32,30,2415,26.8,2,4,6,2,0,0,3,0,0.07,0.15,0.22,0.07,0.22,Matches,e74f0e59
141,Grégoire Defrel,mq MTQ,FWMF,Sampdoria,27,1991,36,26,2339,26.0,11,3,14,11,0,0,2,0,0.42,0.12,0.54,0.42,0.54,Matches,854ee61a
142,Alessandro Deiola,it ITA,MF,Cagliari,22,1995,10,5,450,5.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,7f267d66
143,Alessandro Deiola,it ITA,MF,Parma,22,1995,10,5,545,6.1,0,1,1,0,0,0,3,0,0.00,0.17,0.17,0.00,0.17,Matches,7f267d66
144,Cristian Dell'Orco,it ITA,DF,Sassuolo,24,1994,3,1,110,1.2,0,1,1,0,0,0,0,0,0.00,0.82,0.82,0.00,0.82,Matches,b0243215
145,Cristian Dell'Orco,it ITA,DF,Empoli,24,1994,12,12,1035,11.5,1,0,1,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches,b0243215
146,Merih Demiral,tr TUR,DF,Sassuolo,20,1998,14,14,1260,14.0,2,0,2,2,0,0,3,0,0.14,0.00,0.14,0.14,0.14,Matches,e3cceee6
147,Fabio Depaoli,it ITA,DFMF,Chievo,21,1997,33,27,2468,27.4,0,4,4,0,0,0,12,2,0.00,0.15,0.15,0.00,0.15,Matches,d97f2e8d
148,Kiril Despodov,bg BUL,FWMF,Cagliari,21,1996,4,0,105,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,13c8e5f6
149,Daniele Dessena,it ITA,MF,Cagliari,31,1987,11,3,352,3.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,02b2937c
150,Mattia Destro,it ITA,FW,Bologna,27,1991,17,5,493,5.5,4,1,5,4,0,0,3,0,0.73,0.18,0.91,0.73,0.91,Matches,d7d32194
151,Jacopo Dezi,it ITA,MF,Parma,26,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e921b9db
152,Federico Di Francesco,it ITA,FWMF,Sassuolo,24,1994,19,14,1074,11.9,2,2,4,2,0,0,2,0,0.17,0.17,0.34,0.17,0.34,Matches,1fca9171
153,Antonio Di Gaudio,it ITA,FW,Parma,28,1989,12,9,699,7.8,0,1,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,Matches,434b8c73
154,Giovanni Di Lorenzo,it ITA,DFMF,Empoli,24,1993,37,37,3330,37.0,5,3,8,5,0,0,8,0,0.14,0.08,0.22,0.14,0.22,Matches,230a2fac
155,Amadou Diawara,gn GUI,MF,Napoli,21,1997,13,8,661,7.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,bf309d24
156,Lorenzo Dickmann,it ITA,MF,SPAL,21,1996,6,2,175,1.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,12851227
157,Mitchell Dijks,nl NED,DFMF,Bologna,25,1993,25,23,2023,22.5,1,0,1,1,0,0,5,1,0.04,0.00,0.04,0.04,0.04,Matches,0a3065c8
