--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
573,Matteo Raspa,it ITA,GK,Sampdoria,17,2001,0,,,,,0,,0,0,,1,,,,,,,Matches,9e4f30f7
574,Giacomo Raspadori,it ITA,MFFW,Sassuolo,19,2000,11,264,24,7.7,2.9,2,67,0,9,15,27,0.73,4,6,-2,-0.68,-0.91,Matches,6e058f06
575,Nicola Rauti,it ITA,FW,Torino,19,2000,0,,,,,0,,0,0,,3,,,,,,,Matches,f1d5e1f9
576,Ante Rebić,hr CRO,MFFW,Milan,25,1993,26,1395,54,40.8,15.5,15,74,3,11,27,8,1.77,32,21,+11,+0.71,+0.44,Matches,536cebe5
577,Arkadiusz Reca,pl POL,MFDF,SPAL,24,1995,25,1928,77,56.4,21.4,22,82,15,3,44,4,0.60,15,46,-31,-1.45,-0.30,Matches,6213fd82
578,Vasco Regini,it ITA,DF,Parma,28,1990,2,51,26,1.5,0.6,0,,0,2,26,14,1.50,1,3,-2,-3.53,-3.56,Matches,339c6ed4
579,Vasco Regini,it ITA,DF,Sampdoria,28,1990,3,174,58,5.1,1.9,2,78,1,1,19,12,1.33,5,2,+3,+1.55,+2.11,Matches,339c6ed4
580,Pepe Reina,es ESP,GK,Milan,36,1982,1,90,90,2.6,1.0,1,90,1,0,,14,1.50,3,2,+1,+1.00,+0.57,Matches,e358587b
581,Franck Ribéry,fr FRA,FW,Fiorentina,36,1983,21,1409,67,41.2,15.7,19,72,1,2,16,0,1.19,19,12,+7,+0.45,+0.63,Matches,f61c7c4e
582,Alessio Riccardi,it ITA,FW,Roma,18,2001,0,,,,,0,,0,0,,1,,,,,,,Matches,1ca1ee8a
583,Davide Riccardi,it ITA,DF,Lecce,23,1996,1,20,20,0.6,0.2,0,,0,1,20,19,1.00,0,1,-1,-4.50,-3.65,Matches,7b4b9221
584,Giacomo Ricci,it ITA,DFMF,Parma,22,1996,0,,,,,0,,0,0,,1,,,,,,,Matches,cfb38237
585,Emiliano Rigoni,ar ARG,MFFW,Sampdoria,26,1993,8,431,54,12.6,4.8,4,79,2,4,29,10,0.63,4,8,-4,-0.84,-0.44,Matches,a1216563
586,Luca Rigoni,it ITA,MF,Parma,34,1984,0,,,,,0,,0,0,,1,,,,,,,Matches,4dba2a97
587,Salvatore Rimoli,it ITA,FW,Lecce,18,2001,0,,,,,0,,0,0,,16,,,,,,,Matches,3e57e591
588,Tomás Rincón,ve VEN,MF,Torino,31,1988,32,2702,84,79.0,30.0,31,87,25,1,12,2,1.16,41,43,-2,-0.07,+2.44,Matches,f1cfc209
589,Andrea Rispoli,it ITA,DF,Lecce,30,1988,28,1909,68,55.8,21.2,20,87,16,8,21,9,0.96,27,45,-18,-0.85,+0.04,Matches,39ee6cb6
590,Kaique Rocha,br BRA,DF,Sampdoria,18,2001,0,,,,,0,,0,0,,7,,,,,,,Matches,b31d385e
591,Ricardo Rodríguez,ch SUI,DF,Milan,26,1992,5,386,77,11.3,4.3,5,77,3,0,,10,1.20,2,3,-1,-0.23,-0.77,Matches,7f78ad23
592,Marko Rog,hr CRO,MF,Cagliari,24,1995,30,2317,77,67.7,25.7,28,82,14,2,12,1,1.43,42,41,+1,+0.04,+0.45,Matches,b6b2b820
593,Rogério,br BRA,DF,Sassuolo,21,1998,15,1015,68,29.7,11.3,12,75,3,3,40,7,1.47,21,14,+7,+0.62,+0.66,Matches,10e7f486
594,Filippo Romagna,it ITA,DF,Sassuolo,22,1997,18,1477,82,43.2,16.4,16,89,15,2,28,5,1.44,25,23,+2,+0.12,-0.06,Matches,84594618
595,Filippo Romagna,it ITA,DF,Cagliari,22,1997,0,,,,,0,,0,0,,2,,,,,,,Matches,84594618
596,Alessio Romagnoli,it ITA,DF,Milan,24,1995,35,3091,88,90.4,34.3,35,88,34,0,,0,1.69,54,43,+11,+0.32,-1.32,Matches,3ead85f9
597,Cristian Romero,ar ARG,DF,Genoa,21,1998,30,2577,86,75.4,28.6,30,86,26,0,,1,1.00,33,54,-21,-0.73,-0.20,Matches,a3d94a58
598,Rômulo,it ITA,DFMF,Genoa,32,1987,1,20,20,0.6,0.2,0,,0,1,20,1,3.00,0,1,-1,-4.50,-3.84,Matches,07abb358
599,Rômulo,it ITA,MF,Brescia,32,1987,22,1723,78,50.4,19.1,19,87,13,3,21,1,0.64,18,37,-19,-0.99,+0.33,Matches,07abb358
600,Cristiano Ronaldo,pt POR,FW,Juventus,34,1985,33,2917,88,85.3,32.4,33,88,31,0,,0,2.21,66,36,+30,+0.93,+0.39,Matches,dea698d9
601,Marten de Roon,nl NED,MF,Atalanta,28,1991,35,2721,78,79.6,30.2,29,87,27,6,31,1,2.06,82,41,+41,+1.36,+0.20,Matches,2a1beb34
602,Antonio Rosati,it ITA,GK,Torino,36,1983,1,90,90,2.6,1.0,1,90,1,0,,37,1.00,1,1,0,0.00,+0.59,Matches,28a15394
603,Luca Rossettini,it ITA,DF,Lecce,34,1985,26,2261,87,66.1,25.1,25,89,24,1,45,2,0.92,30,57,-27,-1.07,-0.61,Matches,47a500ae
604,Francesco Rossi,it ITA,GK,Atalanta,28,1991,1,11,11,0.3,0.1,0,,0,1,11,37,3.00,0,1,-1,-8.18,-9.53,Matches,7b5f516f
605,Nicolò Rovella,it ITA,MF,Genoa,17,2001,2,105,53,3.1,1.2,1,76,0,1,29,11,0.00,0,3,-3,-2.57,-1.95,Matches,e58cbfd5
606,Amir Rrahmani,xk KVX,DF,Hellas Verona,25,1994,36,3228,90,94.4,35.9,36,90,35,0,,1,1.28,43,49,-6,-0.17,-1.10,Matches,4b3e1a38
607,Dion Ruffo Luci,it ITA,MF,Bologna,18,2001,1,1,1,0.0,0.0,0,,0,1,1,3,1.00,0,2,-2,-180.00,-179.71,Matches,f239e6dd
608,Daniele Rugani,it ITA,DF,Juventus,25,1994,10,690,69,20.2,7.7,7,90,7,3,20,27,1.60,11,15,-4,-0.52,-1.74,Matches,14b8fcdf
609,Mário Rui,pt POR,DF,Napoli,28,1991,24,1966,82,57.5,21.8,22,87,18,2,28,9,1.58,39,35,+4,+0.18,-0.25,Matches,0b5a292a
610,Fabián Ruiz Peña,es ESP,MF,Napoli,23,1996,33,2684,81,78.5,29.8,30,87,22,3,28,4,1.76,48,38,+10,+0.34,+0.21,Matches,c0c7ff58
611,Alessandro Russo,it ITA,GK,Sassuolo,18,2001,0,,,,,0,,0,0,,16,,,,,,,Matches,3945ac70
612,Stefano Sabelli,it ITA,DF,Brescia,26,1993,36,3168,88,92.6,35.2,36,88,34,0,,1,0.69,31,68,-37,-1.05,+1.45,Matches,0ccac09c
613,Alexis Saelemaekers,be BEL,MF,Milan,20,1999,13,684,53,20.0,7.6,6,76,3,7,32,3,2.23,20,9,+11,+1.45,+1.25,Matches,ee251371
614,Jacopo Sala,it ITA,DFMF,SPAL,27,1991,16,853,53,24.9,9.5,9,72,5,7,29,7,0.75,5,18,-13,-1.37,-0.07,Matches,da5a981b
615,Bartosz Salamon,pl POL,DF,SPAL,28,1991,7,344,49,10.1,3.8,3,90,3,4,19,18,0.29,2,10,-8,-2.09,-0.86,Matches,9b30df1e
616,Eddie Salcedo,it ITA,FWMF,Hellas Verona,17,2001,17,680,40,19.9,7.6,7,68,0,10,21,6,1.06,8,8,0,0.00,+0.13,Matches,0489bb30
617,Antonio Sanabria,py PAR,FW,Genoa,23,1996,24,1387,58,40.6,15.4,16,76,5,8,21,7,1.08,20,34,-14,-0.91,-0.38,Matches,0a447501
618,Alexis Sánchez,cl CHI,FW,Inter,30,1988,22,923,42,27.0,10.3,10,74,4,12,15,4,2.05,31,9,+22,+2.15,+1.32,Matches,2c0f8e9e
619,Mattia Sandri,it ITA,MF,Torino,18,2001,0,,,,,0,,0,0,,2,,,,,,,Matches,38240787
620,Alex Sandro,br BRA,DF,Juventus,28,1991,29,2385,82,69.7,26.5,27,87,24,2,24,3,2.03,48,31,+17,+0.64,-0.75,Matches,0d82903c
621,Nicola Sansone,it ITA,MFFW,Bologna,27,1991,33,2269,69,66.3,25.2,26,79,15,7,31,1,1.18,34,42,-8,-0.32,+0.07,Matches,7eb97a8e
622,Federico Santander,py PAR,FW,Bologna,28,1991,24,770,32,22.5,8.6,5,77,3,19,20,2,1.25,13,12,+1,+0.12,+0.59,Matches,df85d472
