--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
23,Emil Audero,id IDN,GK,Sampdoria,22,1997,36,36,3240,36.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,649b01d8
24,Tommaso Augello,it ITA,DF,Sampdoria,24,1994,17,12,1135,12.6,0,2,2,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,Matches,3cd3b384
25,Florian Ayé,fr FRA,FWMF,Brescia,22,1997,22,15,1380,15.3,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,718b8afd
26,Khouma Babacar,sn SEN,FW,Lecce,26,1993,25,17,1422,15.8,3,0,3,3,0,2,4,0,0.19,0.00,0.19,0.19,0.19,Matches,422ec08a
27,Milan Badelj,hr CRO,MF,Fiorentina,30,1989,22,20,1585,17.6,1,0,1,1,0,0,3,1,0.06,0.00,0.06,0.06,0.06,Matches,e8c930bb
28,Marco Ballarini,it ITA,MF,Udinese,18,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8cb494c9
29,Mario Balotelli,it ITA,FW,Brescia,28,1990,19,16,1404,15.6,5,0,5,5,0,0,6,1,0.32,0.00,0.32,0.32,0.32,Matches,8ff07990
30,Mattia Bani,it ITA,DF,Bologna,25,1993,27,26,2207,24.5,4,0,4,4,0,0,13,1,0.16,0.00,0.16,0.16,0.16,Matches,0821331c
31,Antonín Barák,cz CZE,FW,Udinese,24,1994,8,1,194,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,01efac19
32,Antonín Barák,cz CZE,MF,Lecce,24,1994,16,15,1369,15.2,2,1,3,2,0,0,0,0,0.13,0.07,0.20,0.13,0.20,Matches,01efac19
33,Nicolò Barella,it ITA,MF,Inter,22,1997,27,23,2013,22.4,1,4,5,1,0,0,11,0,0.04,0.18,0.22,0.04,0.22,Matches,6928979a
34,Antonino Barillà,it ITA,MF,Parma,31,1988,26,20,1688,18.8,1,2,3,1,0,0,6,0,0.05,0.11,0.16,0.05,0.16,Matches,a64cbd35
35,Antonio Barreca,it ITA,MF,Genoa,24,1995,18,11,1095,12.2,0,1,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,Matches,6a189491
36,Édgar Barreto,py PAR,MF,Sampdoria,35,1984,2,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,43a1bea5
37,Musa Barrow,gm GAM,FW,Atalanta,20,1998,7,1,190,2.1,0,2,2,0,0,1,0,0,0.00,0.95,0.95,0.00,0.95,Matches,e5bf73f3
38,Musa Barrow,gm GAM,MFFW,Bologna,20,1998,18,14,1354,15.0,9,2,11,8,1,1,1,0,0.60,0.13,0.73,0.53,0.66,Matches,e5bf73f3
39,Daniele Baselli,it ITA,MF,Torino,27,1992,16,16,1278,14.2,0,2,2,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14,Matches,ea06dd97
40,Alessandro Bastoni,it ITA,DF,Inter,20,1999,25,21,1921,21.3,2,0,2,2,0,0,9,1,0.09,0.00,0.09,0.09,0.09,Matches,75b86fb3
41,Bastos,ao ANG,DF,Lazio,28,1991,16,6,765,8.5,1,0,1,1,0,0,4,0,0.12,0.00,0.12,0.12,0.12,Matches,c01c66d9
42,Rodrigo Becão,br BRA,DF,Udinese,23,1996,29,24,2213,24.6,1,1,2,1,0,0,8,0,0.04,0.04,0.08,0.04,0.08,Matches,19e4eab9
43,Asmir Begović,ba BIH,GK,Milan,32,1987,2,1,129,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7b4de647
44,Valon Behrami,ch SUI,MF,Genoa,34,1985,17,13,1107,12.3,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,d3d758d8
45,Raoul Bellanova,it ITA,MF,Atalanta,19,2000,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e3756e72
46,Andrea Belotti,it ITA,FW,Torino,25,1993,36,34,3008,33.4,16,3,19,9,7,8,4,0,0.48,0.09,0.57,0.27,0.36,Matches,d705ba44
47,Marco Benassi,it ITA,MF,Fiorentina,24,1994,18,10,980,10.9,1,1,2,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,Matches,0000acda
48,Ismaël Bennacer,dz ALG,MF,Milan,21,1997,31,28,2485,27.6,1,0,1,1,0,0,14,0,0.04,0.00,0.04,0.04,0.04,Matches,db092d3b
49,Rodrigo Bentancur,uy URU,MF,Juventus,22,1997,30,25,2196,24.4,0,7,7,0,0,0,9,0,0.00,0.29,0.29,0.00,0.29,Matches,3b8674e6
50,Romario Benzar,ro ROU,DF,Lecce,27,1992,3,1,97,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2e3596d1
51,Domenico Berardi,it ITA,MFFW,Sassuolo,24,1994,31,29,2493,27.7,14,10,24,12,2,3,6,1,0.51,0.36,0.87,0.43,0.79,Matches,53a0e358
52,Álex Berenguer,es ESP,MFFW,Torino,24,1995,29,21,1823,20.3,6,2,8,6,0,0,4,0,0.30,0.10,0.39,0.30,0.39,Matches,dc1c2fce
53,Bartosz Bereszyński,pl POL,DF,Sampdoria,27,1992,28,27,2402,26.7,0,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,Matches,61b3978f
54,Etrit Berisha,al ALB,GK,SPAL,30,1989,26,26,2340,26.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,ee833569
55,Valon Berisha,xk KVX,MF,Lazio,26,1993,3,0,33,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d5575935
56,Federico Bernardeschi,it ITA,FWMF,Juventus,25,1994,29,19,1571,17.5,1,1,2,1,0,0,6,0,0.06,0.06,0.11,0.06,0.11,Matches,ee93c1a9
57,Andrea Bertolacci,it ITA,MF,Sampdoria,28,1991,12,8,534,5.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,c75b6a02
58,Lucas Biglia,ar ARG,MF,Milan,33,1986,14,8,685,7.6,0,1,1,0,0,0,4,0,0.00,0.13,0.13,0.00,0.13,Matches,5710a281
59,Cristiano Biraghi,it ITA,MF,Inter,26,1992,26,18,1576,17.5,2,6,8,2,0,0,3,0,0.11,0.34,0.46,0.11,0.46,Matches,9e1577aa
60,Davide Biraschi,it ITA,DFMF,Genoa,25,1994,24,22,1971,21.9,0,1,1,0,0,0,3,1,0.00,0.05,0.05,0.00,0.05,Matches,64cd167d
61,Valter Birsa,si SVN,MF,Cagliari,32,1986,13,4,430,4.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,455a2b79
62,Dimitri Bisoli,it ITA,MF,Brescia,25,1994,25,24,2152,23.9,1,1,2,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,Matches,16569fef
63,Birkir Bjarnason,is ISL,MF,Brescia,31,1988,13,9,798,8.9,0,1,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,Matches,da13074e
64,Kevin-Prince Boateng,gh GHA,FW,Fiorentina,32,1987,14,6,599,6.7,1,0,1,1,0,0,2,0,0.15,0.00,0.15,0.15,0.15,Matches,f4ec4fd0
65,Salvatore Bocchetti,it ITA,DF,Hellas Verona,32,1986,5,3,303,3.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,faa1b07d
66,Jeremie Boga,ci CIV,MFFW,Sassuolo,22,1997,34,28,2513,27.9,11,2,13,11,0,0,0,0,0.39,0.07,0.47,0.39,0.47,Matches,fe012aca
67,Giacomo Bonaventura,it ITA,MFFW,Milan,29,1989,29,13,1338,14.9,3,5,8,3,0,0,2,0,0.20,0.34,0.54,0.20,0.54,Matches,d995ed27
68,Federico Bonazzoli,it ITA,FW,Sampdoria,22,1997,19,7,744,8.3,6,0,6,6,0,0,1,0,0.73,0.00,0.73,0.73,0.73,Matches,bf57eaab
69,Kevin Bonifazi,it ITA,DF,Torino,23,1996,3,3,247,2.7,1,0,1,1,0,0,0,0,0.36,0.00,0.36,0.36,0.36,Matches,fb77bfef
70,Kevin Bonifazi,it ITA,DF,SPAL,23,1996,14,13,1191,13.2,1,0,1,1,0,0,2,1,0.08,0.00,0.08,0.08,0.08,Matches,fb77bfef
71,Federico Bonini,it ITA,DF,Bologna,17,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f8f0744b
72,Leonardo Bonucci,it ITA,DF,Juventus,32,1987,35,35,3082,34.2,3,0,3,3,0,0,10,0,0.09,0.00,0.09,0.09,0.09,Matches,52ec54d0
73,Fabio Borini,it ITA,MFFW,Hellas Verona,28,1991,14,9,808,9.0,3,0,3,2,1,1,1,1,0.33,0.00,0.33,0.22,0.22,Matches,ef5b337e
74,Fabio Borini,it ITA,MF,Milan,28,1991,2,1,70,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ef5b337e
75,Mehdi Bourabia,ma MAR,MF,Sassuolo,27,1991,17,10,925,10.3,1,2,3,1,0,0,7,1,0.10,0.19,0.29,0.10,0.29,Matches,0d077b88
76,Federico Brancolini,it ITA,GK,Fiorentina,18,2001,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d4890c25
77,Gleison Bremer,br BRA,DF,Torino,22,1997,27,27,2270,25.2,3,1,4,3,0,0,6,2,0.12,0.04,0.16,0.12,0.16,Matches,5fd5ed86
78,Marco Brescianini,it ITA,MF,Milan,19,2000,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dfd56738
79,Marcelo Brozović,hr CRO,MF,Inter,26,1992,32,30,2701,30.0,3,6,9,3,0,0,9,0,0.10,0.20,0.30,0.10,0.30,Matches,33b8d077
80,Gastón Brugman,uy URU,MF,Parma,26,1992,23,17,1458,16.2,0,2,2,0,0,0,5,0,0.00,0.12,0.12,0.00,0.12,Matches,e947ee4a
81,Gianluigi Buffon,it ITA,GK,Juventus,41,1978,9,9,810,9.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e40d028b
82,Fabrizio Cacciatore,it ITA,DF,Cagliari,32,1986,16,14,1153,12.8,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,00b0bb87
83,Martín Cáceres,uy URU,DF,Fiorentina,32,1987,27,27,2356,26.2,1,0,1,1,0,0,10,1,0.04,0.00,0.04,0.04,0.04,Matches,e94d79e3
84,Felipe Caicedo,ec ECU,FW,Lazio,30,1988,30,18,1406,15.6,9,2,11,9,0,1,7,0,0.58,0.13,0.70,0.58,0.70,Matches,93b891d1
85,Davide Calabria,it ITA,DF,Milan,22,1996,25,16,1622,18.0,1,1,2,1,0,0,4,2,0.06,0.06,0.11,0.06,0.11,Matches,2146785a
86,Riccardo Calafiori,it ITA,MF,Roma,17,2002,1,1,59,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,aded8e6f
87,Mattia Caldara,it ITA,DF,Atalanta,25,1994,14,11,959,10.7,0,1,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches,ac7e640b
88,Marco Calderoni,it ITA,DF,Lecce,30,1989,26,24,2064,22.9,3,2,5,3,0,0,7,0,0.13,0.09,0.22,0.13,0.22,Matches,652811aa
89,Hakan Çalhanoğlu,tr TUR,MFFW,Milan,25,1994,35,34,2704,30.0,9,9,18,8,1,1,6,0,0.30,0.30,0.60,0.27,0.57,Matches,cd0fa27b
90,José Callejón,es ESP,FWMF,Napoli,32,1987,33,25,2172,24.1,4,7,11,4,0,0,2,0,0.17,0.29,0.46,0.17,0.46,Matches,78841da9
91,Emre Can,de GER,MF,Juventus,25,1994,8,2,284,3.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,a65ce836
92,Antonio Candreva,it ITA,MF,Inter,32,1987,32,24,1993,22.1,5,7,12,5,0,0,5,0,0.23,0.32,0.54,0.23,0.54,Matches,356c9002
93,Gianmarco Cangiano,it ITA,FW,Bologna,17,2001,3,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a36084cd
94,Gianluca Caprari,it ITA,FWMF,Sampdoria,26,1993,18,5,667,7.4,3,0,3,3,0,0,4,1,0.40,0.00,0.40,0.40,0.40,Matches,54e53b7e
95,Gianluca Caprari,it ITA,FWMF,Parma,26,1993,12,7,589,6.5,2,0,2,1,1,1,1,0,0.31,0.00,0.31,0.15,0.15,Matches,54e53b7e
96,Francesco Caputo,it ITA,FW,Sassuolo,31,1987,36,33,2931,32.6,21,7,28,19,2,2,3,0,0.64,0.21,0.86,0.58,0.80,Matches,5bd72174
97,Andrea Carboni,it ITA,DF,Cagliari,18,2001,7,5,368,4.1,0,0,0,0,0,0,5,2,0.00,0.00,0.00,0.00,0.00,Matches,f7e2af2c
98,Francesco Cassata,it ITA,MF,Genoa,22,1997,24,18,1458,16.2,2,0,2,2,0,0,11,2,0.12,0.00,0.12,0.12,0.12,Matches,96960855
99,Timothy Castagne,be BEL,MF,Atalanta,23,1995,27,19,1769,19.7,1,2,3,1,0,0,4,0,0.05,0.10,0.15,0.05,0.15,Matches,197640fd
100,Samu Castillejo,es ESP,MFFW,Milan,24,1995,22,16,1209,13.4,2,3,5,2,0,0,3,1,0.15,0.22,0.37,0.15,0.37,Matches,130a7a3f
101,Lucas Castro,ar ARG,MF,Cagliari,30,1989,15,6,606,6.7,2,0,2,2,0,0,2,0,0.30,0.00,0.30,0.30,0.30,Matches,56b2957b
102,Lucas Castro,ar ARG,MF,SPAL,30,1989,7,6,425,4.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,56b2957b
103,Gaetano Castrovilli,it ITA,MF,Fiorentina,22,1997,33,31,2673,29.7,3,2,5,3,0,0,10,0,0.10,0.07,0.17,0.10,0.17,Matches,0728bebe
104,Danilo Cataldi,it ITA,MF,Lazio,24,1994,21,3,592,6.6,1,0,1,1,0,0,3,0,0.15,0.00,0.15,0.15,0.15,Matches,ba3d3bea
105,Federico Ceccherini,it ITA,DF,Fiorentina,27,1992,15,8,835,9.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,d9624b51
106,Christian Celesia,it ITA,MF,Torino,17,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d2fd20d6
107,Luca Ceppitelli,it ITA,DF,Cagliari,29,1989,16,15,1246,13.8,2,0,2,2,0,0,5,0,0.14,0.00,0.14,0.14,0.14,Matches,7d50454d
108,Alberto Cerri,it ITA,FW,SPAL,23,1996,8,5,420,4.7,1,0,1,1,0,0,1,0,0.21,0.00,0.21,0.21,0.21,Matches,1079c685
109,Alberto Cerri,it ITA,FW,Cagliari,23,1996,11,1,244,2.7,1,0,1,1,0,0,1,0,0.37,0.00,0.37,0.37,0.37,Matches,1079c685
110,Julian Chabot,de GER,DF,Sampdoria,21,1998,8,7,569,6.3,1,0,1,1,0,0,1,1,0.16,0.00,0.16,0.16,0.16,Matches,ae7058f9
111,Jhon Chancellor,ve VEN,DF,Brescia,27,1992,26,26,2244,24.9,3,0,3,3,0,0,3,0,0.12,0.00,0.12,0.12,0.12,Matches,84b6acaa
112,Giorgio Chiellini,it ITA,DF,Juventus,34,1984,4,3,202,2.2,1,0,1,1,0,0,0,0,0.45,0.00,0.45,0.45,0.45,Matches,e85fb9b8
113,Federico Chiesa,it ITA,FWMF,Fiorentina,21,1997,34,31,2637,29.3,11,6,17,10,1,2,7,0,0.38,0.20,0.58,0.34,0.55,Matches,b0f7e36c
114,Vlad Chiricheș,ro ROU,DF,Sassuolo,29,1989,9,8,707,7.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c316607a
115,Luca Cigarini,it ITA,MF,Cagliari,33,1986,22,19,1598,17.8,0,4,4,0,0,0,8,1,0.00,0.23,0.23,0.00,0.23,Matches,ae64d449
116,Thiago Cionek,pl POL,DFMF,SPAL,33,1986,28,23,2169,24.1,0,1,1,0,0,0,11,0,0.00,0.04,0.04,0.00,0.04,Matches,46f5c54d
117,Andrea Cistana,it ITA,DF,Brescia,22,1997,21,21,1838,20.4,1,0,1,1,0,0,7,1,0.05,0.00,0.05,0.05,0.05,Matches,fe6a7685
118,Denilho Cleonise,nl NED,MF,Genoa,17,2001,4,0,47,0.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,91c9de34
119,Ebrima Colley,gm GAM,FWMF,Atalanta,19,2000,5,0,82,0.9,0,1,1,0,0,0,1,0,0.00,1.10,1.10,0.00,1.10,Matches,bf356094
120,Omar Colley,gm GAM,DF,Sampdoria,26,1992,31,30,2772,30.8,0,1,1,0,0,0,10,0,0.00,0.03,0.03,0.00,0.03,Matches,8b95acda
121,Simone Colombi,it ITA,GK,Parma,28,1991,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,72be9309
122,Lorenzo Colombo,it ITA,FW,Milan,17,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,04df29a5
123,Andrea Consigli,it ITA,GK,Sassuolo,32,1987,31,31,2790,31.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8cabdc1e
124,Andrea Conti,it ITA,DF,Milan,25,1994,23,21,1725,19.2,0,2,2,0,0,0,8,0,0.00,0.10,0.10,0.00,0.10,Matches,8fef5412
125,Gabriele Corbo,it ITA,DF,Bologna,19,2000,2,1,122,1.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,091795f2
126,Andreas Cornelius,dk DEN,FW,Parma,26,1993,26,17,1494,16.6,12,3,15,12,0,0,1,0,0.72,0.18,0.90,0.72,0.90,Matches,c693347d
127,Joaquín Correa,ar ARG,FW,Lazio,24,1994,30,22,2002,22.2,9,2,11,9,0,1,0,0,0.40,0.09,0.49,0.40,0.49,Matches,45b9b619
128,Douglas Costa,br BRA,FWMF,Juventus,28,1990,23,7,802,8.9,1,4,5,1,0,0,1,0,0.11,0.45,0.56,0.11,0.56,Matches,4fa7cb9b
129,Angelo da Costa Júnior,br BRA,GK,Bologna,35,1983,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,18736214
130,Alessio Cragno,it ITA,GK,Cagliari,25,1994,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f554e29b
131,Domenico Criscito,it ITA,DFMF,Genoa,32,1986,26,24,2053,22.8,8,0,8,0,8,10,7,0,0.35,0.00,0.35,0.00,0.00,Matches,35dd6d80
132,Bryan Cristante,it ITA,MF,Roma,24,1995,26,18,1616,18.0,1,3,4,1,0,0,7,1,0.06,0.17,0.22,0.06,0.22,Matches,16657b95
133,Sebastián Cristóforo,uy URU,MF,Fiorentina,25,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3c05c659
134,Juan Cuadrado,co COL,DFFW,Juventus,31,1988,33,28,2654,29.5,2,5,7,2,0,0,7,1,0.07,0.17,0.24,0.07,0.24,Matches,0ab1f153
135,Jaume Cuéllar,bo BOL,FW,SPAL,17,2001,2,1,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,934e264d
136,Felipe Curcio,br BRA,DF,Brescia,25,1993,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8913a9f9
137,Patrick Cutrone,it ITA,FW,Fiorentina,21,1998,19,9,838,9.3,4,1,5,4,0,0,1,0,0.43,0.11,0.54,0.43,0.54,Matches,a4fe8cda
138,Lennart-Marten Czyborra,de GER,DFMF,Atalanta,20,1999,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7ba1f1ef
139,Marco D'Alessandro,it ITA,MFFW,SPAL,28,1991,15,10,781,8.7,2,0,2,2,0,0,0,1,0.23,0.00,0.23,0.23,0.23,Matches,060606ec
140,Danilo D'Ambrosio,it ITA,DFMF,Inter,30,1988,22,15,1402,15.6,4,0,4,4,0,0,6,0,0.26,0.00,0.26,0.26,0.26,Matches,44eb9093
141,Felice D'Amico,it ITA,FW,Sampdoria,18,2000,2,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0c35d28d
142,Jacopo Da Riva,it ITA,MF,Atalanta,18,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9591723b
143,Bryan Dabo,bf BFA,MF,SPAL,27,1992,16,13,1122,12.5,1,4,5,1,0,0,4,0,0.08,0.32,0.40,0.08,0.40,Matches,c53083ad
144,Felipe dal Belo,br BRA,DF,SPAL,35,1984,15,11,997,11.1,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,8cea6319
145,Christian Dalle Mura,it ITA,DF,Fiorentina,17,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f32df091
146,Danilo,br BRA,DF,Juventus,28,1991,22,16,1440,16.0,2,0,2,2,0,0,4,1,0.12,0.00,0.12,0.12,0.12,Matches,94b2001f
147,Andrea Danzi,it ITA,MF,Hellas Verona,20,1999,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,263b855a
148,Matteo Darmian,it ITA,DFMF,Parma,29,1989,33,30,2685,29.8,1,1,2,1,0,0,6,0,0.03,0.03,0.07,0.03,0.07,Matches,96e0490d
149,Paweł Dawidowicz,pl POL,DF,Hellas Verona,24,1995,15,7,693,7.7,1,0,1,1,0,0,4,2,0.13,0.00,0.13,0.13,0.13,Matches,16bb656a
150,Sebastien De Maio,fr FRA,DF,Udinese,32,1987,21,17,1500,16.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,952a03fe
151,Rodrigo De Paul,ar ARG,MF,Udinese,25,1994,34,33,2822,31.4,7,6,13,7,0,0,5,1,0.22,0.19,0.41,0.22,0.41,Matches,162efffd
152,Mattia De Sciglio,it ITA,DF,Juventus,26,1992,9,6,471,5.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ae4e2852
153,Lorenzo De Silvestri,it ITA,MF,Torino,31,1988,29,28,2243,24.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,e74f0e59
154,Grégoire Defrel,mq MTQ,FWMF,Sassuolo,28,1991,17,9,980,10.9,3,3,6,2,1,1,1,0,0.28,0.28,0.55,0.18,0.46,Matches,854ee61a
155,Alessandro Deiola,it ITA,MF,Lecce,23,1995,10,8,717,8.0,1,1,2,1,0,0,3,0,0.13,0.13,0.25,0.13,0.25,Matches,7f267d66
156,Alessandro Deiola,it ITA,MF,Cagliari,23,1995,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7f267d66
157,Cristian Dell'Orco,it ITA,DF,Lecce,25,1994,14,11,1007,11.2,0,1,1,0,0,0,2,1,0.00,0.09,0.09,0.00,0.09,Matches,b0243215
