--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,,-additional
31,Ionuț Radu,ro ROU,GK,Cremonese,25,1997,9,9,810,9.0,19,2.11,64,45,70.3,0,3,6,1,11.1,3,3,0,0,0.0,Matches,67f649be
32,Nicola Ravaglia,it ITA,GK,Sampdoria,33,1988,9,9,810,9.0,23,2.56,64,41,64.1,0,3,6,0,0.0,2,2,0,0,0.0,Matches,d7a35008
33,Francesco Rossi,it ITA,GK,Atalanta,31,1991,1,0,4,0.0,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches,7b5f516f
34,Alessandro Russo,it ITA,GK,Sassuolo,21,2001,1,1,90,1.0,3,3.00,7,4,57.1,0,0,1,0,0.0,0,0,0,0,,Matches,3945ac70
35,Mouhamadou Sarr,sn SEN,GK,Cremonese,25,1997,2,2,180,2.0,3,1.50,8,5,62.5,1,0,1,1,50.0,0,0,0,0,,Matches,b959a0d1
36,Luigi Sepe,it ITA,GK,Salernitana,31,1991,17,17,1530,17.0,27,1.59,84,57,67.9,4,5,8,3,17.6,7,4,3,0,42.9,Matches,343f753a
37,Marco Silvestri,it ITA,GK,Udinese,31,1991,38,38,3420,38.0,48,1.26,137,89,65.0,11,13,14,10,26.3,7,6,0,1,0.0,Matches,0d422df7
38,Salvatore Sirigu,it ITA,GK,Fiorentina,35,1987,1,1,90,1.0,0,0.00,5,5,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,10dc46f0
39,Łukasz Skorupski,pl POL,GK,Bologna,31,1991,37,37,3330,37.0,49,1.32,154,113,68.2,13,12,12,7,18.9,9,7,2,0,22.2,Matches,ab4449d6
40,Marco Sportiello,it ITA,GK,Atalanta,30,1992,15,14,1339,14.9,21,1.41,64,43,67.2,6,3,5,2,14.3,1,1,0,0,0.0,Matches,ac4003af
41,Mile Svilar,rs SRB,GK,Roma,22,1999,3,3,270,3.0,3,1.00,10,7,70.0,1,1,1,1,33.3,0,0,0,0,,Matches,bcf5058a
42,Wojciech Szczęsny,pl POL,GK,Juventus,32,1990,28,28,2472,27.5,26,0.95,91,67,71.4,17,3,8,15,53.6,3,3,0,0,0.0,Matches,01b8a2b2
43,Ciprian Tătărușanu,ro ROU,GK,Milan,36,1986,16,16,1440,16.0,22,1.37,63,41,65.1,9,3,4,4,25.0,2,2,0,0,0.0,Matches,b056e3da
44,Pietro Terracciano,it ITA,GK,Fiorentina,32,1990,29,29,2610,29.0,38,1.31,91,59,58.2,9,8,12,5,17.2,7,6,1,0,14.3,Matches,e1b0a70d
45,Martin Turk,si SVN,GK,Sampdoria,18,2003,4,4,360,4.0,9,2.25,30,21,70.0,1,1,2,0,0.0,2,1,0,1,0.0,Matches,14ae023f
46,Samir Ujkani,xk KVX,GK,Empoli,34,1988,1,0,7,0.1,1,12.86,1,0,0.0,0,0,0,0,,0,0,0,0,,Matches,96640846
47,Guglielmo Vicario,it ITA,GK,Empoli,25,1996,31,31,2783,30.9,39,1.26,135,96,71.1,9,12,10,7,22.6,6,4,1,1,20.0,Matches,77d6fd4d
48,Jeroen Zoet,nl NED,GK,Spezia,31,1991,5,4,334,3.7,4,1.08,14,10,71.4,0,3,1,0,0.0,1,1,0,0,0.0,Matches,cc1a0c57
49,Petar Zovko,ba BIH,GK,Spezia,20,2002,1,0,74,0.8,2,2.43,3,1,33.3,0,0,0,0,,0,0,0,0,,Matches,54f6afe3


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2022-2023/keepers/2022-2023-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_keeper">View Original Table</a><br>Generated 8/25/2026.
