--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
65,Jean-Claude Billong,cm CMR,DF,Benevento,23,1993,5,3,294,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a3e1d20d
66,Davide Biondini,it ITA,MF,Sassuolo,34,1983,7,2,206,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b4c3070a
67,Cristiano Biraghi,it ITA,DFMF,Fiorentina,24,1992,34,34,2980,33.1,1,4,5,1,0,0,7,0,0.03,0.12,0.15,0.03,0.15,Matches,9e1577aa
68,Davide Biraschi,it ITA,DFMF,Genoa,23,1994,23,20,1796,20.0,0,1,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,Matches,64cd167d
69,Valter Birsa,si SVN,MFFW,Chievo,30,1986,35,29,2504,27.8,3,6,9,3,0,0,3,0,0.11,0.22,0.32,0.11,0.32,Matches,455a2b79
70,Albano Bizzarri,ar ARG,GK,Udinese,39,1977,32,32,2880,32.0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,32b9b5fa
71,Deian Boldor,ro ROU,DF,Hellas Verona,22,1995,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9b7533de
72,Giacomo Bonaventura,it ITA,MF,Milan,27,1989,33,30,2541,28.2,8,2,10,8,0,0,3,0,0.28,0.07,0.35,0.28,0.35,Matches,d995ed27
73,Federico Bonazzoli,it ITA,FW,SPAL,20,1997,11,2,176,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bf57eaab
74,Federico Bonazzoli,it ITA,FW,Sampdoria,20,1997,1,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bf57eaab
75,Kevin Bonifazi,it ITA,DFMF,Torino,21,1996,6,4,408,4.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fb77bfef
76,Leonardo Bonucci,it ITA,DF,Milan,30,1987,35,35,3085,34.3,2,1,3,2,0,0,5,1,0.06,0.03,0.09,0.06,0.09,Matches,52ec54d0
77,Fabio Borini,it ITA,FWMF,Milan,26,1991,29,19,1610,17.9,2,3,5,2,0,0,5,0,0.11,0.17,0.28,0.11,0.28,Matches,ef5b337e
78,Marco Borriello,it ITA,FW,SPAL,35,1982,15,9,773,8.6,1,0,1,1,0,0,6,0,0.12,0.00,0.12,0.12,0.12,Matches,a889ffc7
79,Lucas Boyé,ar ARG,FW,Torino,21,1996,11,0,155,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d49f3e6b
80,Enrico Brignola,it ITA,MFFW,Benevento,18,1999,18,16,1347,15.0,3,2,5,3,0,0,5,0,0.20,0.13,0.33,0.20,0.33,Matches,d0643f8f
81,Alberto Brignoli,it ITA,GK,Benevento,25,1991,13,11,1126,12.5,1,0,1,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches,6989550f
82,Petar Brlek,hr CRO,MF,Genoa,23,1994,5,3,232,2.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4590c6e7
83,Marcelo Brozović,hr CRO,MF,Inter,24,1992,31,21,1926,21.4,4,8,12,4,0,0,9,0,0.19,0.37,0.56,0.19,0.56,Matches,33b8d077
84,Marcel Büchel,li LIE,MF,Hellas Verona,26,1991,23,20,1696,18.8,0,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,Matches,2edeb221
85,Ante Budimir,hr CRO,FW,Crotone,26,1991,22,17,1588,17.6,6,0,6,6,0,0,8,0,0.34,0.00,0.34,0.34,0.34,Matches,8f3565b3
86,Gianluigi Buffon,it ITA,GK,Juventus,39,1978,21,21,1862,20.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e40d028b
87,Alessandro Buongiorno,it ITA,DF,Torino,18,1999,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4ae67f27
88,Nicolás Burdisso,ar ARG,DF,Torino,36,1981,24,23,2069,23.0,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,9417f322
89,Leandro Cabrera,uy URU,DF,Crotone,26,1991,5,4,365,4.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,69cbc8b6
90,Fabrizio Cacciatore,it ITA,DF,Chievo,30,1986,33,32,2871,31.9,2,2,4,2,0,0,5,1,0.06,0.06,0.13,0.06,0.13,Matches,00b0bb87
91,Martín Cáceres,uy URU,DF,Lazio,30,1987,6,4,441,4.9,1,0,1,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,Matches,e94d79e3
92,Martín Cáceres,uy URU,DF,Hellas Verona,30,1987,14,14,1165,12.9,3,1,4,3,0,0,3,0,0.23,0.08,0.31,0.23,0.31,Matches,e94d79e3
93,Felipe Caicedo,ec ECU,FW,Lazio,28,1988,22,4,717,8.0,3,2,5,3,0,0,1,0,0.38,0.25,0.63,0.38,0.63,Matches,93b891d1
94,Davide Calabria,it ITA,DFMF,Milan,20,1996,21,18,1564,17.4,1,2,3,1,0,0,2,1,0.06,0.12,0.17,0.06,0.17,Matches,2146785a
95,Mattia Caldara,it ITA,DF,Atalanta,23,1994,24,24,2160,24.0,3,1,4,3,0,1,5,0,0.12,0.04,0.17,0.12,0.17,Matches,ac7e640b
96,Hakan Çalhanoğlu,tr TUR,FWMF,Milan,23,1994,31,25,2172,24.1,6,6,12,6,0,0,7,1,0.25,0.25,0.50,0.25,0.50,Matches,cd0fa27b
97,Fabrizio Caligara,it ITA,MF,Cagliari,17,2000,1,0,18,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,22ca11f1
98,José Callejón,es ESP,FW,Napoli,30,1987,38,38,3238,36.0,10,9,19,10,0,0,3,0,0.28,0.25,0.53,0.28,0.53,Matches,78841da9
99,Simone Calvano,it ITA,MF,Hellas Verona,24,1993,15,7,644,7.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9dabfcf5
100,João Cancelo,pt POR,DFMF,Inter,23,1994,26,20,1851,20.6,1,2,3,1,0,0,4,0,0.05,0.10,0.15,0.05,0.15,Matches,bd6351cd
101,Antonio Candreva,it ITA,MF,Inter,30,1987,36,33,2537,28.2,0,7,7,0,0,0,4,0,0.00,0.25,0.25,0.00,0.25,Matches,356c9002
102,Paolo Cannavaro,it ITA,DF,Sassuolo,36,1981,19,16,1443,16.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,46ed55b6
103,Leonardo Capezzi,it ITA,MF,Sampdoria,22,1995,6,2,214,2.4,0,1,1,0,0,0,0,0,0.00,0.42,0.42,0.00,0.42,Matches,07ea0ef2
104,Elio Capradossi,ug UGA,DF,Roma,21,1996,2,1,83,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,174944a3
105,Gianluca Caprari,it ITA,FWMF,Sampdoria,24,1993,34,19,1809,20.1,5,3,8,5,0,0,6,1,0.25,0.15,0.40,0.25,0.40,Matches,54e53b7e
106,Marco Capuano,it ITA,DF,Cagliari,25,1991,9,7,690,7.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,616aea37
107,Marco Capuano,it ITA,DF,Crotone,25,1991,16,16,1407,15.6,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,616aea37
108,Antonio Caracciolo,it ITA,DF,Hellas Verona,27,1990,33,32,2857,31.7,2,4,6,2,0,0,6,0,0.06,0.13,0.19,0.06,0.19,Matches,99d8fc35
109,Francesco Cassata,it ITA,MF,Sassuolo,20,1997,10,5,458,5.1,1,0,1,1,0,0,3,1,0.20,0.00,0.20,0.20,0.20,Matches,96960855
110,Timothy Castagne,be BEL,MF,Atalanta,21,1995,20,17,1500,16.7,0,1,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,Matches,197640fd
111,Leandro Castán,br BRA,DF,Cagliari,30,1986,14,13,1141,12.7,0,1,1,0,0,0,5,0,0.00,0.08,0.08,0.00,0.08,Matches,019f4d0d
112,Lucas Castro,ar ARG,MF,Chievo,28,1989,25,23,1985,22.1,3,4,7,3,0,0,3,0,0.14,0.18,0.32,0.14,0.32,Matches,56b2957b
113,Danilo Cataldi,it ITA,MF,Benevento,22,1994,29,25,2282,25.4,1,4,5,1,0,0,11,1,0.04,0.16,0.20,0.04,0.20,Matches,ba3d3bea
114,Federico Ceccherini,it ITA,DF,Crotone,25,1992,37,37,3229,35.9,1,0,1,1,0,0,4,1,0.03,0.00,0.03,0.03,0.03,Matches,d9624b51
115,Ricardo Centurión,ar ARG,MF,Genoa,24,1993,3,1,54,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fac896b0
116,Luca Ceppitelli,it ITA,DF,Cagliari,27,1989,27,26,2227,24.7,3,0,3,3,0,0,7,0,0.12,0.00,0.12,0.12,0.12,Matches,7d50454d
117,Fabio Ceravolo,it ITA,FW,Benevento,30,1987,1,1,57,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4cc93246
118,Alessio Cerci,it ITA,FWMF,Hellas Verona,30,1987,24,22,1635,18.2,3,1,4,2,1,1,1,0,0.17,0.06,0.22,0.11,0.17,Matches,5370cba7
119,Boštjan Cesar,si SVN,DF,Chievo,35,1982,10,5,550,6.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c1d18f10
120,Damir Ceter,co COL,FW,Cagliari,19,1997,6,1,199,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eade5337
121,Raman Chibsah,gh GHA,MF,Benevento,24,1993,14,12,1048,11.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,aa5a409a
122,Giorgio Chiellini,it ITA,DF,Juventus,32,1984,26,25,2161,24.0,0,1,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,Matches,e85fb9b8
123,Federico Chiesa,it ITA,MFFW,Fiorentina,19,1997,36,35,3012,33.5,6,4,10,6,0,0,7,0,0.18,0.12,0.30,0.18,0.30,Matches,b0f7e36c
124,Vlad Chiricheș,ro ROU,DF,Napoli,27,1989,7,7,582,6.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c316607a
125,Amato Ciciretti,it ITA,MFFW,Benevento,23,1993,12,9,807,9.0,2,1,3,2,0,0,0,0,0.22,0.11,0.33,0.22,0.33,Matches,1ab0b878
126,Luca Cigarini,it ITA,MF,Cagliari,31,1986,26,24,2024,22.5,2,3,5,2,0,1,14,1,0.09,0.13,0.22,0.09,0.22,Matches,ae64d449
127,Thiago Cionek,pl POL,DF,SPAL,31,1986,15,15,1350,15.0,1,0,1,1,0,0,5,0,0.07,0.00,0.07,0.07,0.07,Matches,46f5c54d
128,Karamoko Cissé,gn GUI,FW,Benevento,28,1988,2,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b39569c0
129,Massimo Coda,it ITA,FW,Benevento,28,1988,24,14,1417,15.7,4,1,5,3,1,1,1,0,0.25,0.06,0.32,0.19,0.25,Matches,4c7940d6
130,Isaac Cofie,gh GHA,MF,Genoa,25,1991,12,6,591,6.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c6dda86e
131,Andrea Consigli,it ITA,GK,Sassuolo,30,1987,37,37,3316,36.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,8cabdc1e
132,Andrea Conti,it ITA,DF,Milan,23,1994,2,2,157,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8fef5412
133,Duje Čop,hr CRO,FW,Cagliari,27,1990,2,1,96,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8b0b02c9
134,Alex Cordaz,it ITA,GK,Crotone,34,1983,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,e66ebabb
135,Andreas Cornelius,dk DEN,FW,Atalanta,24,1993,23,8,934,10.4,3,1,4,3,0,0,0,0,0.29,0.10,0.39,0.29,0.39,Matches,c693347d
136,Andrea Cossu,it ITA,MF,Cagliari,37,1980,11,2,243,2.7,0,1,1,0,0,0,0,0,0.00,0.37,0.37,0.00,0.37,Matches,70fd593e
137,Andrea Costa,it ITA,DF,Benevento,31,1986,16,16,1375,15.3,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,f5e9a8bd
138,Douglas Costa,br BRA,FWMF,Juventus,26,1990,31,18,1795,19.9,4,12,16,4,0,0,1,0,0.20,0.60,0.80,0.20,0.80,Matches,4fa7cb9b
139,Filippo Costa,it ITA,MF,SPAL,22,1995,23,14,1473,16.4,0,1,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,Matches,00528660
140,Angelo da Costa Júnior,br BRA,GK,Bologna,33,1983,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,18736214
141,Alessio Cragno,it ITA,GK,Cagliari,23,1994,29,29,2536,28.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f554e29b
142,Michele Cremonesi,it ITA,DF,SPAL,29,1988,5,4,385,4.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,53636fce
143,Lorenzo Crisetig,it ITA,MF,Bologna,24,1993,8,6,558,6.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,f54dfca8
144,Bryan Cristante,it ITA,MF,Atalanta,22,1995,36,33,2824,31.4,9,2,11,9,0,1,4,0,0.29,0.06,0.35,0.29,0.35,Matches,16657b95
145,Sebastián Cristóforo,uy URU,MF,Fiorentina,23,1993,7,3,268,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3c05c659
146,Giovanni Crociata,it ITA,FW,Crotone,19,1997,11,2,290,3.2,1,0,1,1,0,0,0,0,0.31,0.00,0.31,0.31,0.31,Matches,8c964914
147,Luca Crosta,it ITA,GK,Cagliari,19,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a4ec7d09
148,Juan Cuadrado,co COL,MFFW,Juventus,29,1988,21,15,1353,15.0,4,4,8,4,0,0,5,0,0.27,0.27,0.53,0.27,0.53,Matches,0ab1f153
149,Patrick Cutrone,it ITA,FW,Milan,19,1998,28,17,1503,16.7,10,1,11,10,0,0,3,0,0.60,0.06,0.66,0.60,0.66,Matches,a4fe8cda
150,Marco D'Alessandro,it ITA,MFFW,Benevento,26,1991,16,12,1043,11.6,1,1,2,1,0,0,1,0,0.09,0.09,0.17,0.09,0.17,Matches,060606ec
151,Danilo D'Ambrosio,it ITA,DF,Inter,28,1988,34,34,2979,33.1,2,3,5,2,0,0,6,0,0.06,0.09,0.15,0.06,0.15,Matches,44eb9093
152,Bryan Dabo,bf BFA,MF,Fiorentina,25,1992,10,6,591,6.6,1,0,1,1,0,0,3,1,0.15,0.00,0.15,0.15,0.15,Matches,c53083ad
153,Dario Dainelli,it ITA,DF,Chievo,38,1979,21,17,1507,16.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,3858e611
154,Felipe dal Belo,br BRA,DF,SPAL,33,1984,30,30,2573,28.6,1,1,2,1,0,0,6,1,0.03,0.03,0.07,0.03,0.07,Matches,8cea6319
155,Andrea Danzi,it ITA,MF,Hellas Verona,18,1999,5,4,393,4.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,263b855a
156,Sebastien De Maio,fr FRA,DF,Bologna,30,1987,26,22,2053,22.8,2,0,2,2,0,0,7,0,0.09,0.00,0.09,0.09,0.09,Matches,952a03fe
