--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
304,Wesley,br BRA,MF,Roma,22-353,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f2c49c79
305,Harry Winks,eng ENG,MF,Cagliari,30-204,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2f7acede
306,John Yeboah,ec ECU,FW,Venezia,26-063,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8dfdc6c3
307,Kenan Yıldız,tr TUR,MF,Juventus,21-113,2005,1,1,68,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d8cda243
308,Mattia Zaccagni,it ITA,FW,Lazio,31-070,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d85c238b
309,Nicola Zalewski,pl POL,FW,Atalanta,24-214,2002,1,1,59,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,45191c29
310,Nicolò Zaniolo,it ITA,MF,Udinese,27-054,1999,1,1,89,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9907b1c8
311,Gabriele Zappa,it ITA,DFMF,Cagliari,26-246,1999,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ca3db240
312,Davide Zappacosta,it ITA,DF,Atalanta,34-075,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7fe90ccd
313,Oier Zarraga,es ESP,MF,Udinese,27-233,1999,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,968a1c2f
314,Alessio Zerbin,it ITA,FWMF,Frosinone,27-175,1999,1,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d19ef4ef
315,Edon Zhegrova,xk KVX,MF,Juventus,27-147,1999,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,34a88e3e
316,Piotr Zieliński,pl POL,MF,Inter,32-097,1994,1,1,82,0.9,1,0,1,1,0,0,0,0,1.10,0.00,1.10,1.10,1.10,Matches,a5296e55
317,Nadir Zortea,it ITA,DF,Bologna,27-067,1999,1,1,68,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,82598b71
318,Adam Zulevic,sk SVK,FW,Genoa,18-345,2007,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c4ebf937
319,Leo Østigård,no NOR,DF,Genoa,26-270,1999,1,1,65,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b35a7399


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/stats/Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_standard">View Original Table</a><br>Generated 8/25/2026.
